artist_name,soundcharts_uuid,country,career_stage,growth_level,genres,songs,albums,chart_entries,playlist_entries,events,radio_stations_monitored,platform_identifiers
Kawu Dan Sarki,00351778-cf9c-45ec-9e5c-0a8c8dd715b0,NG,long_tail,average_growth,pop,95,60,0,15,0,13,19
Straffitti,009f3138-b8d6-11e8-986c-525400009efb,NG,long_tail,average_growth,alternative; electro; hip hop; traditional,141,64,0,402,5,49,35
Chris Ajilo,013e1abe-c614-11e8-af22-549f35161576,,long_tail,average_growth,traditional,12,2,0,19,0,5,9
Ayinla Kollington,02e9548f-fe43-4113-b703-3d7d019a245e,,long_tail,average_growth,traditional,5,2,0,0,0,2,10
DJ Tunez,030329a3-d20b-43e1-8a67-dc785a1d7a9e,NG,long_tail,average_growth,electro,1,0,0,45,0,7,3
Dan Musa,035dbce0-6e1c-4b2e-8701-958db81d6710,,long_tail,average_growth,hip hop; pop,19,12,1,5,0,3,9
Qing Madi,05192496-df0f-479c-b2cf-b8d9cde3b1a4,NG,mainstream,average_growth,alternative; electro; hip hop; pop; r&b; reggae; soul; traditional,105,57,43,490,4,447,34
Bloody Civilian,0521d08a-9168-4c3a-9f8d-46d2b3c36ea3,NG,mid_level,average_growth,electro; pop; r&b; religious; traditional,53,49,5,462,4,390,31
where.t.at,05abaf76-219d-49a3-bfd8-6223bbf18a51,GB,long_tail,high_growth,hip hop,35,44,45,407,0,14,16
Tiimie,05d5e97f-1d16-4d0f-b816-1ad06c5d1032,NG,long_tail,average_growth,electro; pop; r&b; soul; traditional,88,53,0,400,1,78,22
Prince Mk Baagi,07955234-04c3-4a23-9da0-d2f66611cbe2,NG,long_tail,average_growth,electro,77,61,6,185,0,16,20
Shugavybz,07b763f6-6081-11ea-acc8-e4434b2a4898,NG,long_tail,average_growth,pop; r&b; traditional,74,26,0,167,0,28,22
Blaqbonez,090ce0d4-b33d-11e8-b1c2-525400009efb,NG,mid_level,average_growth,alternative; electro; hip hop; pop; r&b; religious; soul; traditional,400,95,72,567,14,671,40
Zoro,09c1a6a6-0bc6-4b83-8efc-af160969ae4d,NG,long_tail,average_growth,rock; ska,169,25,1,200,0,80,8
Kizz Daniel,0c223d4e-f72d-11e8-aee9-549f35141000,NG,superstar,average_growth,electro; hip hop; pop; r&b; traditional,400,126,89,590,41,1438,43
Shaiboy,0c3df5ce-bafd-4cb1-980b-fd40f28e47d9,NG,long_tail,average_growth,traditional,11,15,0,248,0,22,23
Juno,0cc62e15-e80e-4bdf-add4-0f92c53560c4,NG,long_tail,average_growth,alternative; electro,12,6,2,400,0,46,23
Supernovamusician,0d5faa81-8d56-41c5-8327-06e0578ad27d,,long_tail,average_growth,hip hop,3,2,0,0,0,2,8
Flossing,0d5febe7-dbf3-4cc2-a637-769b4106a93b,US,long_tail,average_growth,alternative,20,13,0,108,11,59,21
JaySynths,0f1c4bac-c8fc-42e8-abed-757ca32f4993,NG,long_tail,average_growth,electro; pop; traditional,31,19,0,337,0,27,27
Yadah,0f281f4a-e003-11e8-9e5b-525400009efb,NG,mid_level,average_growth,r&b; religious,87,41,1,400,0,87,24
Agboola Shadare,0ff25678-c24b-11e8-8046-525400009efb,US,long_tail,average_growth,jazz; pop; religious,29,5,0,130,0,0,22
Monochrome,108b1af6-a6a5-45fb-91aa-f928ef80478b,NG,long_tail,high_growth,alternative; electro; traditional,48,19,24,417,1,53,12
Sunmisola Agbebi,10964604-decb-4503-b01b-e5dc19979061,NG,mainstream,average_growth,r&b; religious,134,63,128,405,0,123,27
Fitzy West,11b03d2a-858e-4e8d-8525-331e2dc9bd5a,NG,long_tail,average_growth,alternative; electro; religious; traditional,46,17,0,57,0,26,23
