nmas_artist_id,artist_name,in_sample,region,state_area,chartmetric_id,soundcharts_uuid,soundcharts_name,match_confidence,in_daily_microdata
tretto,$tretto,N,,,,74bdcd41-1fd0-42ca-9e4f-8772a1304deb,$tretto,exact_ng,N
2baba,2Baba,Y,South,Benue,180612,11e83fe6-991f-e24a-85c4-a0369fe50396,2Baba,exact_ng,Y
6uff,6UFF,N,,,,2339acfa-e155-414e-b485-148302c239b5,6uff,exact_ng,N
9ice,9ice,Y,South,Oyo,3683,11e81bc6-7062-ea76-9ea5-a0369fe50396,9ice,exact_ng,Y
a-q,A-Q,N,,,,11e83fe2-c83a-d778-9cf1-aa1c026db3d8,A-Q,exact_ng,N
aqt,AQT,N,,,,1dd78618-54ee-406e-ab76-321dd6ed26b0,AQT,exact_foreign,N
artsalghul,ARTSALGHUL,N,,,,e921db36-fb2d-4b59-a9d8-24997a764cc9,ARTSALGHUL,exact_ng,N
abass-akande-obesere,Abass Akande Obesere,N,,,,11e83fe6-1523-ba52-8d82-a0369fe50396,Abass Akande Obesere,exact_no_country,N
abbey-ojomu,Abbey Ojomu,N,South,,,89b351bd-fdfd-4ae7-a50c-e6ce65458903,Abbey Ojomu,exact_ng,N
abdu-boda,Abdu Boda,N,North,Northern Nigeria,,b0b8935c-b8ea-11e8-ae6b-525400009efb,Abdu Boda,exact_ng,N
abdul-d-one,Abdul D One,N,North,Kano,,2925ab1e-c2f7-4385-a76d-c5052b82713d,Abdul D One,exact_ng,N
abdullahi-danko,Abdullahi Danko,N,North,Kano,,,,unmatched,N
abefe,Abefe,N,,,,60775db2-44ec-486e-b346-c9ccbdc6d21f,ABEFE,exact_ng,N
abibu-oluwa,Abibu Oluwa,N,,,,,,unmatched,N
abiodun,Abiodun,N,,,,162333e6-ed4d-11e8-a9ad-549f35161576,Abiodun,exact_foreign,N
abiodun-duro-ladipo,Abiodun Duro-Ladipo,N,,,,,,unmatched,N
abiodun-koya,Abiodun Koya,N,,,,64181c66-bf01-48b5-85e0-efffea3d461f,Abiodun Koya,exact_ng,N
abubakar-sani,Abubakar Sani,N,,,,76efa6a8-b8e8-11e8-a907-525400009efb,Abubakar Sani,exact_no_country,N
acebergtm,AcebergTM,N,,,,9379aef0-c1dd-4ede-bde7-68087429c96a,Acebergtm,exact_ng,N
ada-ehi,Ada Ehi,N,South,,,77e70a38-87d7-11e9-91af-e4434b16cb7a,Ada Ehi,exact_ng,N
adam-a-zango,Adam A. Zango,N,North,Kaduna,,90916b1e-c662-11e8-b387-549f35161576,Adam A Zango,exact_ng,N
adedoyin-oseni,Adedoyin Oseni,N,,,,d9be566d-3ec1-49f8-94e0-909f579764c5,Adedoyin Oseni,exact_ng,N
adekunle-gold,Adekunle Gold,Y,South,Lagos,640717,11e81bbe-1e84-5c38-a593-a0369fe50396,Adekunle Gold,exact_ng,Y
adewale-ayuba,Adewale Ayuba,N,,,,11e81bc7-1732-bfca-aeac-a0369fe50396,Adewale Ayuba,exact_ng,N
ado-gwanja,Ado Gwanja,N,North,Kano,,56d06f4e-c20f-11e8-b1ef-525400009efb,Ado Gwanja,exact_ng,N
ado-ibro,Ado Ibro,N,North,Kano,,,,unmatched,N
