artist_name,nmas_artist_id,provider_country,classification,evidence,needs_nbs_adjudication,quarters_present,gross_streaming_revenue_usd_total
$tretto,$tretto,NG,domestic,provider registers the artist in Nigeria,N,26,510.67
2Baba,2baba,NG,domestic,provider registers the artist in Nigeria,N,31,985071.86
6UFF,6uff,NG,domestic,provider registers the artist in Nigeria,N,21,544388.15
9ice,9ice,NG,domestic,provider registers the artist in Nigeria,N,31,382215.12
A-Q,a-q,NG,domestic,provider registers the artist in Nigeria,N,31,51788.07
AQT,aqt,US,diaspora_candidate,provider registers the artist in US,Y,8,21705.43
ARTSALGHUL,artsalghul,NG,domestic,provider registers the artist in Nigeria,N,6,62269.97
Abass Akande Obesere,abass-akande-obesere,,unknown,provider holds no country for this artist,Y,29,1749.45
Abbey Ojomu,abbey-ojomu,NG,domestic,provider registers the artist in Nigeria,N,22,135111.23
Abdu Boda,abdu-boda,NG,domestic,provider registers the artist in Nigeria,N,30,1476.09
Abdul D One,abdul-d-one,NG,domestic,provider registers the artist in Nigeria,N,25,79757.52
Abefe,abefe,NG,domestic,provider registers the artist in Nigeria,N,9,144296.66
Abiodun,abiodun,DE,diaspora_candidate,provider registers the artist in DE,Y,30,1192.06
Abiodun Koya,abiodun-koya,NG,domestic,provider registers the artist in Nigeria,N,16,14.0
Abubakar Sani,abubakar-sani,,unknown,provider holds no country for this artist,Y,30,2125.46
AcebergTM,acebergtm,NG,domestic,provider registers the artist in Nigeria,N,25,15536.42
Ada Ehi,ada-ehi,NG,domestic,provider registers the artist in Nigeria,N,26,2153670.62
Adam A. Zango,adam-a.-zango,NG,domestic,provider registers the artist in Nigeria,N,30,6457.93
Adedoyin Oseni,adedoyin-oseni,NG,domestic,provider registers the artist in Nigeria,N,17,392.88
Adekunle Gold,adekunle-gold,NG,domestic,provider registers the artist in Nigeria,N,31,4038643.35
Adewale Ayuba,adewale-ayuba,NG,domestic,provider registers the artist in Nigeria,N,31,128048.46
Ado Gwanja,ado-gwanja,NG,domestic,provider registers the artist in Nigeria,N,31,73.67
Adé Bantu,adé-bantu,NG,domestic,provider registers the artist in Nigeria,N,20,7.33
Afrikan Boy,afrikan-boy,GB,diaspora_candidate,provider registers the artist in GB,Y,31,61511.22
Agboola Shadare,agboola-shadare,US,diaspora_candidate,provider registers the artist in US,Y,30,1692.43
Aisosa,aisosa,NG,domestic,provider registers the artist in Nigeria,N,20,494.79
Ajebo Hustlers,ajebo-hustlers,NG,domestic,provider registers the artist in Nigeria,N,5,8.51
Ajebutter22,ajebutter22,NG,domestic,provider registers the artist in Nigeria,N,31,470363.4
Ajofé,ajofé,NG,domestic,provider registers the artist in Nigeria,N,22,7297.24
Al Xapo,al-xapo,ZA,diaspora_candidate,provider registers the artist in ZA,Y,24,508082.59
Ali Jita,ali-jita,NG,domestic,provider registers the artist in Nigeria,N,30,218844.5
Alpha P,alpha-p,NG,domestic,provider registers the artist in Nigeria,N,29,221002.87
Altims,altims,,unknown,provider holds no country for this artist,Y,22,715.24
Al’ameen,al’ameen,,unknown,provider holds no country for this artist,Y,1,0.05
Amaarae,amaarae,GH,diaspora_candidate,provider registers the artist in GH,Y,30,8447435.47
Amarachi,amarachi,NG,domestic,provider registers the artist in Nigeria,N,30,1141.32
Aminu Alan Waka,aminu-alan-waka,NG,domestic,provider registers the artist in Nigeria,N,20,3863.96
