artist_name,cm_artist_id,sc_uuid,sc_name,sc_slug,sc_country,sc_career_stage,match_confidence,candidates_seen
2Baba,180612,11e83fe6-991f-e24a-85c4-a0369fe50396,2Baba,2baba,NG,mainstream,exact_ng,10
Bad Boy Timz,1596343,af27eea6-8933-11e9-b0df-549f35161576,Bad Boy Timz,bad-boy-timz,NG,long_tail,exact_ng,4
Bella Shmurda,1526513,95344eec-423c-11e9-8db6-549f35141000,Bella Shmurda,bella-shmurda,NG,mainstream,exact_ng,10
Ayra Starr,4200054,440f0f3d-170e-4be3-ac0a-182326bf51f6,Ayra Starr,ayra-starr-1,NG,superstar,exact_ng,5
Bayanni,9591956,1a43db25-4375-45ef-ba3e-7c9367f4cad5,Bayanni,bayanni,NG,mid_level,exact_ng,10
Adekunle Gold,640717,11e81bbe-1e84-5c38-a593-a0369fe50396,Adekunle Gold,adekunle-gold,NG,mid_level,exact_ng,6
9ice,3683,11e81bc6-7062-ea76-9ea5-a0369fe50396,9ice,9ice,NG,mid_level,exact_ng,10
Banky W.,107373,11e81bcd-0487-be9c-8bf1-a0369fe50396,Banky W.,banky-w,NG,mid_level,exact_ng,6
Ajebutter22,202020,11e83fe1-7743-6ce6-a586-aa1c026db3d8,Ajebutter22,ajebutter22,NG,mid_level,exact_ng,8
Asake,1779041,fbe8f070-b8f8-11e8-af3e-525400009efb,Asake,asake,NG,superstar,exact_ng,10
Aṣa,63541,11e81bc7-0336-16d4-827a-a0369fe50396,Aṣa,asa-2,FR,long_tail,exact_foreign,10
Amaarae,834689,11e83fed-8dd7-286a-83f4-a0369fe50396,Amaarae,amaarae,GH,mainstream,exact_foreign,10
Bloody Civilian,9901852,0521d08a-9168-4c3a-9f8d-46d2b3c36ea3,Bloody Civilian,bloody-civilian,NG,mid_level,exact_ng,2
Brymo,15051,11e81bbe-54ed-29d0-9ff6-a0369fe50396,Brymo,brymo,NG,long_tail,exact_ng,10
Boj,317847,11e83fe1-9f7d-e4f2-87f0-a0369fe50396,Boj,boj,NG,mid_level,exact_ng,10
Blaqbonez,880055,090ce0d4-b33d-11e8-b1c2-525400009efb,Blaqbonez,blaqbonez-1,NG,long_tail,exact_ng,10
BNXN,1363515,11e83fe9-d026-36d8-8f3f-aa1c026db3d8,BNXN,buju,NG,long_tail,exact_ng,10
Boy Spyce,6124353,d0409c99-c83e-403e-9a1e-a73ff46e7fe6,Boy Spyce,boy-spyce,NG,long_tail,exact_ng,9
Burna Boy,441923,14ff75bc-4c73-11e9-a24b-549f35141000,Burna Boy,burna-boy,NG,superstar,exact_ng,10
Bracket,712,11e81bc9-a2b1-6536-9259-a0369fe50396,Bracket,bracket,NG,mid_level,exact_ng,10
CKay,919695,11e83fec-1580-802e-81df-aa1c026db3d8,Ckay,ckay,NG,mainstream,exact_ng,10
Chike,1139022,11e81bc0-0cbc-b08e-bee2-a0369fe50396,Chike,chike,NG,mid_level,exact_ng,10
CDQ,101087,11e83fe2-3f9a-9fc0-8f52-a0369fe50396,CDQ,cdq,NG,mid_level,exact_ng,10
Crayon,1705853,4071305e-b790-11e9-94f0-00163ec5a2fb,Crayon,crayon-12,FR,mid_level,exact_foreign,10
Cruel Santino,921836,7d459933-46a9-49bd-bebc-b48dad4284e3,Cruel Santino,cruel-santino,NG,long_tail,exact_ng,2
D'banj,3225,11e81bc7-2e44-87a2-9ff7-a0369fe50396,D'banj,d-banj-1,NG,mid_level,exact_ng,10
Darkoo,821653,11e83fee-736a-5e06-aedf-a0369fe50396,Darkoo,darkoo,GB,long_tail,exact_foreign,10
Darey,510303,11e83fe3-9279-0884-b06a-aa1c026db3d8,Darey,darey,NG,long_tail,exact_ng,10
DJ Spinall,1068888,11e83fe1-2cd5-afde-97dd-aa1c026db3d8,DJ Spinall,dj-spinall,NG,long_tail,exact_ng,4
Dammy Krane,423004,11e81bcb-904d-95e8-9170-a0369fe50396,Dammy Krane,dammy-krane,NG,long_tail,exact_ng,10
Dice Ailes,627972,11e81bc8-87ed-a4d6-9ccf-a0369fe50396,Dice Ailes,dice-ailes,NG,mid_level,exact_ng,4
DJ Cuppy,12822800,3cbe1ad5-4fbd-4f8f-92c6-2c2711ebb6a1,Dj Cuppy,dj-cuppy-4,,long_tail,exact_no_country,3
Davido,4723,11e81bc8-7fc6-6428-9478-a0369fe50396,Davido,davido,NG,superstar,exact_ng,10
DJ Neptune,269281,11e83fe0-3869-816e-b026-a0369fe50396,DJ Neptune,dj-neptune,NG,mainstream,exact_ng,10
Duncan Mighty,410515,11e83fe0-9794-2bf8-b680-aa1c026db3d8,Duncan Mighty,duncan-mighty,NG,mainstream,exact_ng,10
Dremo,367518,11e83fe7-2406-7860-a473-aa1c026db3d8,Dremo,dremo,NG,mid_level,exact_ng,10
Ebenezer Obey,7794895,11e81bce-8c53-3da0-8b73-a0369fe50396,Ebenezer Obey,ebenezer-obey,NG,long_tail,exact_ng,10
Fireboy DML,1359817,18505440-d214-11e8-bcf0-525400009efb,Fireboy Dml,fireboy-dml,NG,superstar,exact_ng,6
Falz,5416,11e83fe0-e52a-77fa-af82-aa1c026db3d8,Falz,falz-2,NG,mainstream,exact_ng,10
Flavour N'abania,372062,11e81bbf-ed91-481e-a3ef-a0369fe50396,Flavour N'abania,flavour-n-abania,,long_tail,exact_no_country,1
Fela Kuti,1194,11e81bc7-c756-75e0-a28d-a0369fe50396,Fela Kuti,fela-kuti,NG,long_tail,exact_ng,10
Eldee,543431,11e83fe0-90a8-92fc-8b81-aa1c026db3d8,eLDee,eldee,NG,long_tail,exact_ng,10
Flavour,56982,11e83fdf-c3b8-53ae-b7d1-aa1c026db3d8,Flavour,flavour-2,NG,mainstream,exact_ng,10
Ice Prince,4107,11e81bc7-f9e2-7824-a703-a0369fe50396,Ice Prince,ice-prince,NG,mid_level,exact_ng,10
Jesse Jagz,194174,11e81bc8-c2ab-e77c-873e-a0369fe50396,Jesse Jagz,jesse-jagz,NG,long_tail,exact_ng,10
HarrySong,268217,11e81bd2-6718-fb34-9bfb-a0369fe50396,Harrysong,harrysong,NG,mid_level,exact_ng,10
Illbliss,43445,11e83fe0-e3c9-5aa2-bb73-aa1c026db3d8,Illbliss,illbliss,NG,long_tail,exact_ng,10
Iyanya,211380,11e81bc8-110a-24b6-9b11-a0369fe50396,Iyanya,iyanya,NG,mid_level,exact_ng,10
Joeboy,1141538,e344e41a-d8e3-11e8-bc95-549f35161576,Joeboy,joeboy,NG,mainstream,exact_ng,10
Johnny Drille,521793,11e83fe6-226c-8e46-bf3a-aa1c026db3d8,Johnny Drille,johnny-drille,NG,mainstream,exact_ng,10
King Sunny Ade,47108,11e81bd3-3141-7c42-be28-a0369fe50396,King Sunny Ade,king-sunny-ade,NG,mid_level,exact_ng,10
Khaid,8358898,f24b2fd8-a778-47aa-a656-a3e9dd2daa6a,Khaid,khaid-1,NG,mainstream,exact_ng,10
Korede Bello,161462,11e81bbf-fd1a-43d0-8484-a0369fe50396,Korede Bello,korede-bello,NG,mid_level,exact_ng,5
Kizz Daniel,1033822,0c223d4e-f72d-11e8-aee9-549f35141000,Kizz Daniel,kizz-daniel,NG,superstar,exact_ng,10
Lady Donli,629778,11e83fe6-189b-4d30-b6d4-aa1c026db3d8,Lady Donli,lady-donli,NG,mid_level,exact_ng,7
Lil Kesh,5380,11e81bcd-5d1d-0f44-ae3c-a0369fe50396,Lil Kesh,lil-kesh,NG,mainstream,exact_ng,10
LADIPOE,747150,11e83fed-0195-65ce-9525-aa1c026db3d8,LADIPOE,ladipoe,NG,long_tail,exact_ng,10
Lagbaja,112315,11e81bc7-e1cf-6d28-8888-a0369fe50396,Lagbaja,lagbaja,NG,long_tail,exact_ng,10
Lojay,1407482,f8eb637c-c211-11e8-b77a-525400009efb,Lojay,lojay,NG,long_tail,exact_ng,10
Libianca,3976019,8ac4922c-c67c-11e9-8c7b-e4434b16cb7a,Libianca,libianca,CM,mid_level,exact_foreign,10
Lyta,883219,11e81bbb-6acc-51ca-92f0-a0369fe50396,Lyta,lyta,NG,long_tail,exact_ng,10
M.I. Abaga,57275,11e83fe1-56b0-dffe-9f76-a0369fe50396,M.I. Abaga,m-i-abaga,NG,mid_level,exact_ng,10
Maleek Berry,5370,11e81bcc-e0c6-1ac6-8e28-a0369fe50396,Maleek Berry,maleek-berry,GB,long_tail,exact_foreign,3
Mannywellz,260858,11e81bc8-963c-aa3c-ae8c-a0369fe50396,Mannywellz,mannywellz,US,mid_level,exact_foreign,7
Magixx,3385702,414cd652-df48-11e8-9171-525400009efb,Magixx,magixx,NG,mainstream,exact_ng,10
Mr Real,818502,426cd532-b338-11e8-9639-525400009efb,Mr Real,mr-real-1,NG,long_tail,exact_ng,10
Mr Eazi,211382,66436e6e-b7ff-11e8-9127-525400009efb,Mr Eazi,mr-eazi-1,NG,long_tail,exact_ng,8
Mayorkun,261082,11e83fe7-2879-668c-bd4f-aa1c026db3d8,Mayorkun,mayorkun,NG,mainstream,exact_ng,10
Naira Marley,427024,11e81bc0-b6b1-58b0-83bc-a0369fe50396,Naira Marley,naira-marley,NG,long_tail,exact_ng,10
Naeto C,429240,11e81bbb-1880-fe2a-8f70-a0369fe50396,Naeto C,naeto-c,NG,long_tail,exact_ng,8
Mohbad,1572633,265de3e0-47bc-11e9-a956-549f35141000,Mohbad,mohbad,NG,long_tail,exact_ng,10
Niniola,409530,11e83fe2-d671-ff6a-aea5-aa1c026db3d8,Niniola,niniola,NG,long_tail,exact_ng,10
Nonso Amadi,485812,11e83fe5-f9e3-6198-b06b-aa1c026db3d8,Nonso Amadi,nonso-amadi,CA,mainstream,exact_foreign,7
Odunsi (The Engine),11587,11e83fe6-831b-0934-b352-a0369fe50396,Odunsi (The Engine),odunsi-the-engine,NG,mid_level,exact_ng,6
Olu Maintain,29054,11e81bca-b94a-fe82-9f52-a0369fe50396,Olu Maintain,olu-maintain,NG,long_tail,exact_ng,4
Omah Lay,3578130,28810016-6284-11e9-bd7c-549f35141000,Omah lay,omah-lay,NG,superstar,exact_ng,10
Olakira,1103816,11e8aa02-78e4-3c8e-b8d9-525400009efb,Olakira,olakira,NG,mid_level,exact_ng,10
Olamide,5061,11e81bbc-22c1-79ea-a928-a0369fe50396,Olamide,olamide,NG,mainstream,exact_ng,10
ODUMODUBLVCK,3606151,87c9bd86-7bdb-11e9-b465-549f35161576,Odumodublvck,odumodublvck,NG,mainstream,exact_ng,10
