period_label,account,category,artists,unit_cost_ngn,basis,cost_ngn,cost_usd
Q1_2019,domestic_production,Studio Production,226,750000,per artist per quarter x 2 track(s),339000000,1104522.35
Q1_2019,domestic_production,Digital Distribution,226,15000,per artist per quarter x 2 track(s),6780000,22090.45
Q1_2019,domestic_production,Web Hosting & CDN,226,50000,per artist per quarter,11300000,36817.41
Q1_2019,domestic_production,Promotion & Marketing,226,250000,per artist per quarter x 2 track(s),113000000,368174.12
Q1_2019,gni_diaspora,Studio Production,40,750000,per artist per quarter x 2 track(s),60000000,195490.68
Q1_2019,gni_diaspora,Digital Distribution,40,15000,per artist per quarter x 2 track(s),1200000,3909.81
Q1_2019,gni_diaspora,Web Hosting & CDN,40,50000,per artist per quarter,2000000,6516.36
Q1_2019,gni_diaspora,Promotion & Marketing,40,250000,per artist per quarter x 2 track(s),20000000,65163.56
Q1_2019,unclassified,Studio Production,17,750000,per artist per quarter x 2 track(s),25500000,83083.54
Q1_2019,unclassified,Digital Distribution,17,15000,per artist per quarter x 2 track(s),510000,1661.67
Q1_2019,unclassified,Web Hosting & CDN,17,50000,per artist per quarter,850000,2769.45
Q1_2019,unclassified,Promotion & Marketing,17,250000,per artist per quarter x 2 track(s),8500000,27694.51
Q2_2019,domestic_production,Studio Production,317,750000,per artist per quarter x 2 track(s),475500000,1549263.65
Q2_2019,domestic_production,Digital Distribution,317,15000,per artist per quarter x 2 track(s),9510000,30985.27
Q2_2019,domestic_production,Web Hosting & CDN,317,50000,per artist per quarter,15850000,51642.12
Q2_2019,domestic_production,Promotion & Marketing,317,250000,per artist per quarter x 2 track(s),158500000,516421.22
Q2_2019,gni_diaspora,Studio Production,71,750000,per artist per quarter x 2 track(s),106500000,346995.96
Q2_2019,gni_diaspora,Digital Distribution,71,15000,per artist per quarter x 2 track(s),2130000,6939.92
Q2_2019,gni_diaspora,Web Hosting & CDN,71,50000,per artist per quarter,3550000,11566.53
Q2_2019,gni_diaspora,Promotion & Marketing,71,250000,per artist per quarter x 2 track(s),35500000,115665.32
Q2_2019,unclassified,Studio Production,34,750000,per artist per quarter x 2 track(s),51000000,166167.08
Q2_2019,unclassified,Digital Distribution,34,15000,per artist per quarter x 2 track(s),1020000,3323.34
Q2_2019,unclassified,Web Hosting & CDN,34,50000,per artist per quarter,1700000,5538.9
Q2_2019,unclassified,Promotion & Marketing,34,250000,per artist per quarter x 2 track(s),17000000,55389.03
Q3_2019,domestic_production,Studio Production,348,750000,per artist per quarter x 2 track(s),522000000,1700768.93
Q3_2019,domestic_production,Digital Distribution,348,15000,per artist per quarter x 2 track(s),10440000,34015.38
Q3_2019,domestic_production,Web Hosting & CDN,348,50000,per artist per quarter,17400000,56692.3
Q3_2019,domestic_production,Promotion & Marketing,348,250000,per artist per quarter x 2 track(s),174000000,566922.98
Q3_2019,gni_diaspora,Studio Production,84,750000,per artist per quarter x 2 track(s),126000000,410530.43
Q3_2019,gni_diaspora,Digital Distribution,84,15000,per artist per quarter x 2 track(s),2520000,8210.61
Q3_2019,gni_diaspora,Web Hosting & CDN,84,50000,per artist per quarter,4200000,13684.35
Q3_2019,gni_diaspora,Promotion & Marketing,84,250000,per artist per quarter x 2 track(s),42000000,136843.48
Q3_2019,unclassified,Studio Production,39,750000,per artist per quarter x 2 track(s),58500000,190603.41
Q3_2019,unclassified,Digital Distribution,39,15000,per artist per quarter x 2 track(s),1170000,3812.07
