period_label,variable_name,provider,observations
Q1_2019,Deezer_fans_daily,soundcharts,3538
Q1_2019,Facebook_followers_daily,soundcharts,8450
Q1_2019,Instagram_followers_daily,soundcharts,1630
Q1_2019,Playlist_Apple_Music_count_daily,soundcharts,1666
Q1_2019,Playlist_Apple_Music_editorial_count_daily,soundcharts,1666
Q1_2019,Playlist_Apple_Music_editorial_reach_daily,soundcharts,1666
Q1_2019,Playlist_Apple_Music_reach_daily,soundcharts,1666
Q1_2019,Playlist_Deezer_count_daily,soundcharts,1697
Q1_2019,Playlist_Deezer_editorial_count_daily,soundcharts,1697
Q1_2019,Playlist_Deezer_editorial_reach_daily,soundcharts,1697
Q1_2019,Playlist_Deezer_reach_daily,soundcharts,1697
Q1_2019,Playlist_count_daily,soundcharts,4935
Q1_2019,Playlist_editorial_count_daily,soundcharts,4935
Q1_2019,Playlist_editorial_reach_daily,soundcharts,4935
Q1_2019,Playlist_reach_daily,soundcharts,4935
Q1_2019,Radio_spins_daily_NG,soundcharts,10462
Q1_2019,Soundcloud_followers_daily,soundcharts,7815
Q1_2019,Spotify_followers_daily,soundcharts,28823
Q1_2019,Twitter_followers_daily,soundcharts,10990
Q1_2019,YouTube_domestic_listeners_daily,soundcharts,314
Q1_2019,YouTube_listeners_daily,soundcharts,379
Q1_2019,YouTube_subscribers_daily,soundcharts,6260
Q1_2019,YouTube_total_listeners_daily,soundcharts,379
Q1_2020,Deezer_fans_daily,soundcharts,33850
Q1_2020,Facebook_followers_daily,soundcharts,12376
Q1_2020,Instagram_domestic_followers_daily,soundcharts,49
Q1_2020,Instagram_followers_daily,soundcharts,13509
Q1_2020,Instagram_total_followers_daily,soundcharts,54
Q1_2020,Playlist_Apple_Music_count_daily,soundcharts,2319
Q1_2020,Playlist_Apple_Music_editorial_count_daily,soundcharts,2319
Q1_2020,Playlist_Apple_Music_editorial_reach_daily,soundcharts,2319
Q1_2020,Playlist_Apple_Music_reach_daily,soundcharts,2319
Q1_2020,Playlist_Deezer_count_daily,soundcharts,2303
Q1_2020,Playlist_Deezer_editorial_count_daily,soundcharts,2303
Q1_2020,Playlist_Deezer_editorial_reach_daily,soundcharts,2303
Q1_2020,Playlist_Deezer_reach_daily,soundcharts,2303
Q1_2020,Playlist_count_daily,soundcharts,5634
Q1_2020,Playlist_editorial_count_daily,soundcharts,5634
Q1_2020,Playlist_editorial_reach_daily,soundcharts,5634
Q1_2020,Playlist_reach_daily,soundcharts,5634
Q1_2020,Radio_spins_daily_NG,soundcharts,10681
Q1_2020,Soundcloud_followers_daily,soundcharts,10372
Q1_2020,Spotify_followers_daily,soundcharts,41360
Q1_2020,Spotify_monthly_listeners_daily,soundcharts,7408
Q1_2020,Spotify_total_listeners_daily,soundcharts,6967
Q1_2020,Twitter_followers_daily,soundcharts,15079
Q1_2020,YouTube_domestic_listeners_daily,soundcharts,2399
Q1_2020,YouTube_listeners_daily,soundcharts,3152
Q1_2020,YouTube_subscribers_daily,soundcharts,8154
Q1_2020,YouTube_total_listeners_daily,soundcharts,3108
Q1_2021,Deezer_fans_daily,soundcharts,46708
Q1_2021,Facebook_followers_daily,soundcharts,11926
Q1_2021,Instagram_domestic_followers_daily,soundcharts,172
Q1_2021,Instagram_followers_daily,soundcharts,17056
Q1_2021,Instagram_total_followers_daily,soundcharts,178
Q1_2021,Playlist_Amazon_Music_count_daily,soundcharts,1239
Q1_2021,Playlist_Amazon_Music_editorial_count_daily,soundcharts,1239
Q1_2021,Playlist_Amazon_Music_editorial_reach_daily,soundcharts,1239
Q1_2021,Playlist_Amazon_Music_reach_daily,soundcharts,1239
Q1_2021,Playlist_Apple_Music_count_daily,soundcharts,3001
Q1_2021,Playlist_Apple_Music_editorial_count_daily,soundcharts,3001
Q1_2021,Playlist_Apple_Music_editorial_reach_daily,soundcharts,3001
Q1_2021,Playlist_Apple_Music_reach_daily,soundcharts,3001
Q1_2021,Playlist_Deezer_count_daily,soundcharts,2667
Q1_2021,Playlist_Deezer_editorial_count_daily,soundcharts,2667
Q1_2021,Playlist_Deezer_editorial_reach_daily,soundcharts,2667
Q1_2021,Playlist_Deezer_reach_daily,soundcharts,2667
Q1_2021,Playlist_YouTube_count_daily,soundcharts,1024
Q1_2021,Playlist_YouTube_editorial_count_daily,soundcharts,1024
Q1_2021,Playlist_YouTube_editorial_reach_daily,soundcharts,1024
Q1_2021,Playlist_YouTube_reach_daily,soundcharts,1024
Q1_2021,Playlist_count_daily,soundcharts,6297
Q1_2021,Playlist_editorial_count_daily,soundcharts,6297
Q1_2021,Playlist_editorial_reach_daily,soundcharts,6297
Q1_2021,Playlist_reach_daily,soundcharts,6297
Q1_2021,Radio_spins_daily_NG,soundcharts,11720
Q1_2021,Soundcloud_followers_daily,soundcharts,14129
Q1_2021,Spotify_domestic_listeners_daily,soundcharts,2457
Q1_2021,Spotify_followers_daily,soundcharts,49799
Q1_2021,Spotify_monthly_listeners_daily,soundcharts,6548
Q1_2021,Spotify_popularity_daily,soundcharts,7750
Q1_2021,Spotify_total_listeners_daily,soundcharts,6536
Q1_2021,TikTok_domestic_followers_daily,soundcharts,25
Q1_2021,TikTok_total_followers_daily,soundcharts,25
Q1_2021,Twitter_followers_daily,soundcharts,18903
Q1_2021,YouTube_domestic_followers_daily,soundcharts,74
