dataset,field,tier,rows,depends_on_constants,providers,note
Daily_Metric_Observations + Extended,Amazon_Music_followers_daily,1 OBSERVED,62299,,soundcharts,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,Audiomack_followers_daily,1 OBSERVED,160455,,soundcharts,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,Audiomack_listeners_daily,1 OBSERVED,247459,,soundcharts,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,Bandsintown_followers_daily,1 OBSERVED,74670,,chartmetric+soundcharts,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,Boomplay_followers_daily,1 OBSERVED,227550,,soundcharts,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,Deezer_fans_daily,1 OBSERVED,1117655,,chartmetric+soundcharts,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,Facebook_followers_daily,1 OBSERVED,355935,,chartmetric+soundcharts,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,Facebook_likes_daily,1 OBSERVED,13849,,chartmetric,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,Facebook_talks_daily,1 OBSERVED,13849,,chartmetric,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,Genius_followers_daily,1 OBSERVED,50633,,soundcharts,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,Instagram_domestic_followers_daily,1 OBSERVED,10335,,soundcharts,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,Instagram_followers_daily,1 OBSERVED,586896,,chartmetric+soundcharts,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,Instagram_total_followers_daily,1 OBSERVED,10612,,soundcharts,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,Playlist_Amazon_Music_count_daily,1 OBSERVED,44714,,soundcharts,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,Playlist_Amazon_Music_editorial_count_daily,1 OBSERVED,44714,,soundcharts,provider returned this figure for this artist on this date
