period,category,classification,total_employment,male,female,source
Q1_2025,"Direct Employment (Artists, Producers, Engineers, Managers)",ASM,300000,186000,114000,US ITA Nigeria 2024; UNESCO 2023
Q1_2025,"Indirect Employment (Distribution, Marketing, Retail, Tech)",ASM,1000000,620000,380000,US ITA Nigeria 2024; UNESCO 2023
Q1_2025,TOTAL MUSIC INDUSTRY,ASM,1300000,806000,494000,"Aggregated (US ITA, Vanguard 2024, Nairametrics 2025)"
Q2_2025,"Direct Employment (Artists, Producers, Engineers, Managers)",ASM,306000,189720,116280,US ITA Nigeria 2024; UNESCO 2023
Q2_2025,"Indirect Employment (Distribution, Marketing, Retail, Tech)",ASM,1020000,632400,387600,US ITA Nigeria 2024; UNESCO 2023
Q2_2025,TOTAL MUSIC INDUSTRY,ASM,1326000,822120,503880,"Aggregated (US ITA, Vanguard 2024, Nairametrics 2025)"
Q3_2025,"Direct Employment (Artists, Producers, Engineers, Managers)",ASM,312120,193514,118606,US ITA Nigeria 2024; UNESCO 2023
Q3_2025,"Indirect Employment (Distribution, Marketing, Retail, Tech)",ASM,1040400,645048,395352,US ITA Nigeria 2024; UNESCO 2023
Q3_2025,TOTAL MUSIC INDUSTRY,ASM,1352520,838562,513958,"Aggregated (US ITA, Vanguard 2024, Nairametrics 2025)"
Q4_2025,"Direct Employment (Artists, Producers, Engineers, Managers)",ASM,318362,197384,120978,US ITA Nigeria 2024; UNESCO 2023
Q4_2025,"Indirect Employment (Distribution, Marketing, Retail, Tech)",ASM,1061208,657949,403259,US ITA Nigeria 2024; UNESCO 2023
Q4_2025,TOTAL MUSIC INDUSTRY,ASM,1379570,855333,524237,"Aggregated (US ITA, Vanguard 2024, Nairametrics 2025)"
Q1_2026,"Direct Employment (Artists, Producers, Engineers, Managers)",ASM,324730,201333,123397,US ITA Nigeria 2024; UNESCO 2023
Q1_2026,"Indirect Employment (Distribution, Marketing, Retail, Tech)",ASM,1082432,671108,411324,US ITA Nigeria 2024; UNESCO 2023
Q1_2026,TOTAL MUSIC INDUSTRY,ASM,1407162,872440,534722,"Aggregated (US ITA, Vanguard 2024, Nairametrics 2025)"
