period_label,account,artists,spotify_revenue_usd,youtube_revenue_usd,deezer_revenue_usd,unmeasured_platform_uplift_usd,gross_streaming_revenue_usd,gross_streaming_revenue_ngn,domestic_revenue_usd,export_revenue_usd,cost_total_ngn,cost_total_usd,net_ngn
Q1_2019,domestic_production,224,0.0,996128.98,39968.25,0.0,1036097.22,1554145830.0,,,465920000.0,310613.33,1088225830.0
Q1_2019,gni_diaspora,39,0.0,150047.27,18481.94,0.0,168529.23,252793845.0,,,81120000.0,54080.0,171673845.0
Q1_2019,unclassified,16,0.0,2719.41,31.93,0.0,2751.34,4127010.0,,,33280000.0,22186.67,-29152990.0
Q2_2019,domestic_production,317,1158908.69,1087027.9,42745.73,347672.68,2636354.87,3954532305.0,,,659360000.0,439573.33,3295172305.0
Q2_2019,gni_diaspora,71,448918.99,248766.49,18974.45,134675.71,851335.59,1277003385.0,,,147680000.0,98453.33,1129323385.0
Q2_2019,unclassified,34,1829.85,2768.99,32.55,548.96,5180.35,7770525.0,,,70720000.0,47146.67,-62949475.0
Q3_2019,domestic_production,348,1648929.32,1172961.73,55865.5,494678.84,3372435.46,5058653190.0,,,723840000.0,482560.0,4334813190.0
Q3_2019,gni_diaspora,84,476500.37,254389.76,19688.62,142950.09,893528.8,1340293200.0,,,174720000.0,116480.0,1165573200.0
Q3_2019,unclassified,39,1292.33,2825.03,59.64,387.68,4564.73,6847095.0,,,81120000.0,54080.0,-74272905.0
Q4_2019,domestic_production,354,1979440.3,1610658.32,66819.48,593831.93,4250750.22,6376125330.0,,,736320000.0,490880.0,5639805330.0
Q4_2019,gni_diaspora,85,532221.88,260676.75,20756.08,159666.63,973321.28,1459981920.0,,,176800000.0,117866.67,1283181920.0
Q4_2019,unclassified,41,1391.37,2906.18,75.93,417.45,4790.89,7186335.0,,,85280000.0,56853.33,-78093665.0
Q1_2020,domestic_production,361,1927024.69,1723303.26,77246.02,578107.44,4305681.34,6458522010.0,,,750880000.0,500586.67,5707642010.0
