period_label,platform,metric,city_name,region,value,artists
Q1_2019,YouTube,streaming_listeners,Lagos,Lagos,57636.0,24
Q1_2019,YouTube,streaming_listeners,Abuja,Federal Capital Territory,10645.0,21
Q1_2019,YouTube,streaming_listeners,Benin City,Edo,3636.0,13
Q1_2019,YouTube,streaming_listeners,Ibadan,Oyo,3448.0,15
Q1_2019,YouTube,streaming_listeners,Ebute-Lekki,Lagos,1964.0,7
Q1_2019,YouTube,streaming_listeners,Port Harcourt,Rivers,61.0,1
Q2_2019,YouTube,streaming_listeners,Lagos,Lagos,35429.0,32
Q2_2019,YouTube,streaming_listeners,Abuja,Federal Capital Territory,8757.0,30
Q2_2019,YouTube,streaming_listeners,Benin City,Edo,4190.0,13
Q2_2019,YouTube,streaming_listeners,Asaba,Delta,2282.0,1
Q2_2019,YouTube,streaming_listeners,Ebute-Lekki,Lagos,1901.0,9
Q2_2019,YouTube,streaming_listeners,Port Harcourt,Rivers,133.0,2
Q2_2019,YouTube,streaming_listeners,Ibadan,Oyo,51.0,1
Q3_2019,YouTube,streaming_listeners,Lagos,Lagos,59689.0,32
Q3_2019,YouTube,streaming_listeners,Abuja,Federal Capital Territory,17773.0,30
Q3_2019,YouTube,streaming_listeners,Benin City,Edo,7688.0,16
Q3_2019,YouTube,streaming_listeners,Ado Ekiti,Ekiti,3911.0,1
Q3_2019,YouTube,streaming_listeners,Ebute-Lekki,Lagos,2922.0,13
Q3_2019,YouTube,streaming_listeners,Enugu,Enugu,639.0,6
Q3_2019,YouTube,streaming_listeners,Warri,Delta,285.0,4
Q3_2019,YouTube,streaming_listeners,Port Harcourt,Rivers,269.0,3
Q4_2019,YouTube,streaming_listeners,Lagos,Lagos,94931.0,33
Q4_2019,YouTube,streaming_listeners,Abuja,Federal Capital Territory,29005.0,30
Q4_2019,YouTube,streaming_listeners,Ebute-Lekki,Lagos,4690.0,19
Q4_2019,YouTube,streaming_listeners,Osogbo,Osun,4545.0,22
Q4_2019,YouTube,streaming_listeners,Benin City,Edo,3738.0,22
Q4_2019,YouTube,streaming_listeners,Ibadan,Oyo,2440.0,14
Q4_2019,YouTube,streaming_listeners,Yenagoa,Bayelsa,2241.0,15
Q4_2019,YouTube,streaming_listeners,Agbor,Delta,1807.0,12
Q4_2019,YouTube,streaming_listeners,Nnewi,Anambra,1756.0,7
Q4_2019,YouTube,streaming_listeners,Biogbolo,Bayelsa,1354.0,9
Q4_2019,YouTube,streaming_listeners,Port Harcourt,Rivers,597.0,7
Q4_2019,YouTube,streaming_listeners,Enugu,Enugu,526.0,6
Q4_2019,YouTube,streaming_listeners,Onitsha,Anambra,499.0,8
Q4_2019,YouTube,streaming_listeners,Warri,Delta,299.0,5
Q4_2019,YouTube,streaming_listeners,Kaduna,Kaduna,96.0,3
Q4_2019,YouTube,streaming_listeners,Zaria,Kaduna,28.0,1
Q4_2019,YouTube,streaming_listeners,Bonny,Rivers,26.0,1
Q4_2019,YouTube,streaming_listeners,Jos,Plateau,26.0,1
Q4_2019,YouTube,streaming_listeners,Yola,Adamawa,25.0,1
Q1_2020,Instagram,social_followers,Lagos,Lagos,11383104.0,18
Q1_2020,Instagram,social_followers,Abuja,Federal Capital Territory,2278248.0,17
Q1_2020,Instagram,social_followers,Port Harcourt,Rivers,639305.0,14
Q1_2020,Instagram,social_followers,Uyo,Akwa Ibom,268215.0,7
Q1_2020,Instagram,social_followers,Ado Ekiti,Ekiti,17139.0,3
Q1_2020,Instagram,social_followers,Osogbo,Osun,1599.0,1
Q1_2020,YouTube,streaming_listeners,Lagos,Lagos,114430.0,32
Q1_2020,YouTube,streaming_listeners,Abuja,Federal Capital Territory,43509.0,30
Q1_2020,YouTube,streaming_listeners,Benin City,Edo,7978.0,26
Q1_2020,YouTube,streaming_listeners,Ibadan,Oyo,3305.0,11
Q1_2020,YouTube,streaming_listeners,Ebute-Lekki,Lagos,2405.0,17
Q1_2020,YouTube,streaming_listeners,Onitsha,Anambra,1567.0,16
Q1_2020,YouTube,streaming_listeners,Nnewi,Anambra,313.0,6
Q1_2020,YouTube,streaming_listeners,Port Harcourt,Rivers,283.0,3
Q1_2020,YouTube,streaming_listeners,Asaba,Delta,180.0,2
Q2_2020,Instagram,social_followers,Lagos,Lagos,16410400.0,25
Q2_2020,Instagram,social_followers,Abuja,Federal Capital Territory,3130652.0,24
Q2_2020,Instagram,social_followers,Port Harcourt,Rivers,938220.0,21
Q2_2020,Instagram,social_followers,Uyo,Akwa Ibom,203563.0,10
Q2_2020,Instagram,social_followers,Ado Ekiti,Ekiti,90874.0,10
Q2_2020,Instagram,social_followers,Osogbo,Osun,3810.0,2
Q2_2020,YouTube,streaming_listeners,Lagos,Lagos,132356.0,34
Q2_2020,YouTube,streaming_listeners,Abuja,Federal Capital Territory,51001.0,31
Q2_2020,YouTube,streaming_listeners,Port Harcourt,Rivers,17272.0,29
Q2_2020,YouTube,streaming_listeners,Benin City,Edo,4444.0,26
Q2_2020,YouTube,streaming_listeners,Magboro,Ogun State,3929.0,21
Q2_2020,YouTube,streaming_listeners,Ebute-Lekki,Lagos,3071.0,19
Q2_2020,YouTube,streaming_listeners,Onitsha,Anambra,398.0,6
Q2_2020,YouTube,streaming_listeners,Warri,Delta,77.0,1
Q2_2020,YouTube,streaming_listeners,Ibadan,Oyo,51.0,1
Q2_2020,YouTube,streaming_listeners,Bauchi,Bauchi,36.0,1
Q2_2020,YouTube,streaming_listeners,Agbara,Ogun State,32.0,1
Q2_2020,YouTube,streaming_listeners,Jos,Plateau,31.0,1
Q3_2020,Instagram,social_followers,Lagos,Lagos,24798840.0,36
Q3_2020,Instagram,social_followers,Abuja,Federal Capital Territory,4615140.0,35
Q3_2020,Instagram,social_followers,Port Harcourt,Rivers,1275689.0,32
Q3_2020,Instagram,social_followers,Uyo,Akwa Ibom,347283.0,17
Q3_2020,Instagram,social_followers,Ado Ekiti,Ekiti,167831.0,12
Q3_2020,Instagram,social_followers,Osogbo,Osun,12027.0,3
Q3_2020,Instagram,social_followers,Yenagoa,Bayelsa,2026.0,1
Q3_2020,YouTube,streaming_listeners,Lagos,Lagos,166922.0,34
Q3_2020,YouTube,streaming_listeners,Abuja,Federal Capital Territory,52370.0,33
Q3_2020,YouTube,streaming_listeners,Port Harcourt,Rivers,23616.0,31
Q3_2020,YouTube,streaming_listeners,Ebute-Lekki,Lagos,7558.0,25
Q3_2020,YouTube,streaming_listeners,Ibadan,Oyo,195.0,6
Q3_2020,YouTube,streaming_listeners,Benin City,Edo,124.0,6
Q3_2020,YouTube,streaming_listeners,Bonny,Rivers,99.0,3
Q3_2020,YouTube,streaming_listeners,Owerri,Imo,97.0,4
Q3_2020,YouTube,streaming_listeners,Magboro,Ogun State,92.0,4
Q3_2020,YouTube,streaming_listeners,Abeokuta,Ogun State,66.0,3
Q3_2020,YouTube,streaming_listeners,Enugu,Enugu,58.0,2
Q3_2020,YouTube,streaming_listeners,Kano,Kano,56.0,1
Q3_2020,YouTube,streaming_listeners,Uyo,Akwa Ibom,42.0,2
Q3_2020,YouTube,streaming_listeners,Onitsha,Anambra,41.0,2
Q3_2020,YouTube,streaming_listeners,Jos,Plateau,32.0,2
Q3_2020,YouTube,streaming_listeners,Maiduguri,Borno,28.0,2
Q3_2020,YouTube,streaming_listeners,Awka,Anambra,22.0,1
Q3_2020,YouTube,streaming_listeners,Yola,Adamawa,19.0,1
Q3_2020,YouTube,streaming_listeners,Nsukka,Enugu,17.0,2
Q3_2020,YouTube,streaming_listeners,Zaria,Kaduna,16.0,1
Q3_2020,YouTube,streaming_listeners,Calabar,Cross River,14.0,1
Q3_2020,YouTube,streaming_listeners,Makurdi,Benue,13.0,2
Q3_2020,YouTube,streaming_listeners,Agege,,13.0,1
Q3_2020,YouTube,streaming_listeners,Kaduna,Kaduna,12.0,1
Q3_2020,YouTube,streaming_listeners,Loburo,Ogun State,11.0,1
Q3_2020,YouTube,streaming_listeners,Agbara,Ogun State,9.0,1
Q3_2020,YouTube,streaming_listeners,Asaba,Delta,9.0,1
Q3_2020,YouTube,streaming_listeners,Sokoto,Sokoto,8.0,1
Q3_2020,YouTube,streaming_listeners,Ikorodu,Lagos,7.0,1
Q3_2020,YouTube,streaming_listeners,Ado Ekiti,Ekiti,6.0,1
Q3_2020,YouTube,streaming_listeners,Katsina,Katsina,5.0,1
Q4_2020,Instagram,social_followers,Lagos,Lagos,28804623.0,48
Q4_2020,Instagram,social_followers,Abuja,Federal Capital Territory,5248168.0,47
Q4_2020,Instagram,social_followers,Port Harcourt,Rivers,1534977.0,43
Q4_2020,Instagram,social_followers,Uyo,Akwa Ibom,588062.0,30
