platform,canonical,observations,in_register
Amazon Music,Amazon Music,117333,Y
Apple Music,Apple Music,172672,Y
Audiomack,Audiomack,127222,Y
Bandsintown,Bandsintown,43480,Y
Boomplay,Boomplay,76396,Y
Deezer,Deezer,449213,Y
Facebook,Facebook,160739,Y
Genius,Genius,29257,Y
Instagram,Instagram,208377,Y
Radio,Radio,223614,Y
Soundcharts,Soundcharts,78372,Y
Soundcloud,Soundcloud,169829,Y
Spotify,Spotify,1080620,Y
Tidal,Tidal,2393,Y
TikTok,TikTok,173094,Y
Twitter,Twitter,223514,Y
Wikipedia,Wikipedia,59565,Y
YouTube,YouTube,848298,Y
