year,country_code,station,city,artists,play_count,is_domestic
2019,NG,Naija FM 102.7,Lagos,235,81539,Y
2019,NG,Wazobia FM,Lagos,277,41350,Y
2019,NG,Cool FM,Lagos,269,34470,Y
2019,NG,Inspiration 92.3 FM,Lagos,261,21006,Y
2019,GB,The Beat (103.6FM),London,137,19955,N
2019,GB,Pie Radio UK,Manchester,54,18963,N
2019,GB,Capital Xtra,London,110,13519,N
2019,FR,Africa Radio,Paris,120,13182,N
2019,NG,Splash 105.5 FM,Ibadan,241,13095,Y
2019,GB,Reprezent Radio,London,142,12546,N
2019,GB,BBC Radio 1 Xtra,London,106,12228,N
2019,FR,Tropiques FM,Paris,45,10518,N
2019,GB,Westside Radio,London,124,8437,N
2019,US,WWPR,"New York, NY",20,8411,N
2019,US,Hot 97,"New York, NY",28,8275,N
2019,ZA,Y FM,Johannesburg,73,7109,N
2019,DE,WDR Funkhaus Europa,Cologne,110,5997,N
2019,US,WPOW,"Miami, FL",9,5675,N
2019,GB,Rinse FM,London,123,5377,N
2019,GB,KISS XTRA,London,33,5121,N
2019,GB,Ujima 98 FM,Bristol,133,5028,N
2019,US,WKYS-FM,"Washington, D.C.",23,4591,N
2019,NL,NPO FunX NL,Hilversum,69,4309,N
2019,US,Power 107.5,"Colombus, OH",10,4253,N
2019,US,WGPR,"Detroit, MI",6,3942,N
2019,FR,Mouv',Paris,74,3901,N
2019,US,WOWI,"Norfolk, VA",10,3852,N
2019,US,WPGC 95.5,"Washington, D.C.",11,3650,N
2019,GB,Kemet,Nottingham,67,3561,N
2019,GB,Unity Xtra,Manchester,65,3560,N
2019,GB,Pulse 88,London,73,3523,N
2019,US,WZMX,"Hartford, CT",18,3433,N
2019,US,WQUE,"New Orleans, LA",7,3250,N
2019,US,WBTJ,"Richmond, VA",17,3184,N
2019,GB,BBC Radio 1,London,76,3148,N
2019,US,Hot 93.3,"Dallas, TX",5,3112,N
2019,GB,Kiss FM,London,11,2877,N
2019,FR,Générations (Lyon),Lyon,32,2816,N
2019,US,WHHL,"St. Louis, MO",9,2790,N
2019,US,KBXX,"Houston, TX",9,2787,N
2019,US,KBFB,"Dallas, TX",10,2759,N
2019,NZ,Flava,Tauranga,11,2702,N
2019,US,WHZT-FM,"Spartanburg, SC",6,2687,N
2019,FR,Générations (IDF),Paris,22,2632,N
2019,US,WQOK-FM,"Raleigh-Durham, NC",16,2481,N
2019,BE,Tarmac,Brussels,12,2467,N
2019,US,WRSV,"Rocky Mount, NC",13,2456,N
2019,US,102 JAMZ,"Reidsville, NC",8,2294,N
2019,ZA,5FM,Bloemfontein,44,2154,N
2019,US,K104,"Dallas, TX",9,2069,N
2019,BE,Bruzz,Brussels,89,1986,N
2019,GB,New Style Radio,Birmingham,89,1976,N
2019,GB,BBC Asian Network,Birmingham,91,1882,N
2019,US,92Q Jams Baltimore,"Baltimore, MD",12,1856,N
2019,US,WPWX-FM,"Chicago, IL",53,1839,N
2019,US,KFCO-FM,"Bennett, CO",7,1830,N
2019,US,WHTA-FM,"Mableton, GA",20,1805,N
2019,NZ,Mai FM,Whangarei,14,1693,N
2019,DE,L'Unico,Paderborn,9,1693,N
2019,US,KMEL,"San Francisco, CA",12,1644,N
2019,US,KOPW-FM (Omaha's Power 106.9 FM),"Plattsmouth, NE",7,1604,N
2019,US,WMMR,"Philadelphia, PA",2,1580,N
2019,US,WJMN,"Boston, MA",16,1483,N
2019,US,KPHW-FM (Power Hawaï 104.3 FM),"Houston, TX",5,1477,N
2019,AU,Triple J,Sydney,61,1439,N
2019,US,WRVZ,"Charleston, WV",6,1437,N
2019,US,WQLQ-FM,"South Bend, IN",4,1416,N
2019,FR,Blackbox,Bordeaux,9,1411,N
