period_label,nmas_artist_id,artist_name,residency,spotify_monthly_listeners,youtube_quarter_views,deezer_fans,spotify_revenue_usd,youtube_revenue_usd,deezer_revenue_usd,measured_platform_revenue_usd,unmeasured_platform_uplift_usd,gross_streaming_revenue_usd,gross_streaming_revenue_ngn,domestic_share_observed,domestic_revenue_usd,export_revenue_usd,export_revenue_ngn,split_basis,split_classification,youtube_views_source,spotify_listeners_source
Q2_2020,$tretto,$tretto,domestic,7,0,0,0.29,0.0,0.0,0.29,0.09,0.38,573.3,,,,,not measured: provider published no geography this quarter,UNK,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q3_2020,$tretto,$tretto,domestic,4890,0,1,205.38,0.0,0.02,205.4,61.61,267.02,400527.0,,,,,not measured: provider published no geography this quarter,UNK,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q4_2020,$tretto,$tretto,domestic,14,0,1,0.59,0.0,0.02,0.61,0.18,0.79,1182.6,,,,,not measured: provider published no geography this quarter,UNK,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q1_2021,$tretto,$tretto,domestic,15,0,1,0.63,0.0,0.02,0.65,0.19,0.84,1264.5,0.4,0.34,0.51,758.7,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q2_2021,$tretto,$tretto,domestic,10,0,1,0.42,0.0,0.02,0.44,0.13,0.57,855.0,0.888889,0.51,0.06,95.0,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q3_2021,$tretto,$tretto,domestic,5,0,1,0.21,0.0,0.02,0.23,0.06,0.3,445.5,0.666667,0.2,0.1,148.5,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q4_2021,$tretto,$tretto,domestic,22,0,1,0.92,0.0,0.02,0.95,0.28,1.23,1837.8,0.28,0.34,0.88,1323.22,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q1_2022,$tretto,$tretto,domestic,20,0,1,0.84,0.0,0.02,0.86,0.25,1.12,1674.0,0.25,0.28,0.84,1255.5,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q2_2022,$tretto,$tretto,domestic,11,0,1,0.46,0.0,0.02,0.49,0.14,0.62,936.9,0.583333,0.36,0.26,390.38,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q3_2022,$tretto,$tretto,domestic,69,0,1,2.9,0.0,0.02,2.92,0.87,3.79,5687.1,0.695652,2.64,1.15,1730.86,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q4_2022,$tretto,$tretto,domestic,16,0,1,0.67,0.0,0.02,0.7,0.2,0.9,1346.4,0.529412,0.48,0.42,633.6,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q1_2023,$tretto,$tretto,domestic,2755,0,1,115.71,0.0,0.02,115.73,34.71,150.45,225670.5,0.059022,8.88,141.57,212350.99,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q2_2023,$tretto,$tretto,domestic,198,0,1,8.32,0.0,0.02,8.34,2.49,10.83,16252.2,0.323529,3.51,7.33,10994.14,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q3_2023,$tretto,$tretto,domestic,163,0,1,6.85,0.0,0.02,6.87,2.05,8.92,13385.7,0.434286,3.88,5.05,7572.48,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q4_2023,$tretto,$tretto,domestic,96,0,1,4.03,0.0,0.02,4.06,1.21,5.27,7898.4,0.376344,1.98,3.28,4925.88,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q1_2024,$tretto,$tretto,domestic,88,0,1,3.7,0.0,0.02,3.72,1.11,4.83,7243.2,0.544304,2.63,2.2,3300.7,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q2_2024,$tretto,$tretto,domestic,47,0,1,1.97,0.0,0.02,2.0,0.59,2.59,3885.3,0.519231,1.34,1.25,1867.93,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q3_2024,$tretto,$tretto,domestic,596,0,1,25.03,0.0,0.02,25.06,7.51,32.57,48848.4,0.050336,1.64,30.93,46389.59,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q4_2024,$tretto,$tretto,domestic,51,0,1,2.14,0.0,0.02,2.17,0.64,2.81,4212.9,0.519231,1.46,1.35,2025.43,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q1_2025,$tretto,$tretto,domestic,50,0,1,2.1,0.0,0.02,2.12,0.63,2.75,4131.0,0.38,1.05,1.71,2561.22,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q2_2025,$tretto,$tretto,domestic,19,0,1,0.8,0.0,0.02,0.82,0.24,1.06,1592.1,0.210526,0.22,0.84,1256.92,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q3_2025,$tretto,$tretto,domestic,43,162,1,1.81,0.65,0.02,2.48,0.54,3.02,4531.4,0.44186,1.33,1.69,2529.15,observed: artist's own Nigerian share of listeners this quarter,OBS,"estimated: observations span 66% of the quarter, below the 90% adequacy threshold; subscribers x 6.76 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q4_2025,$tretto,$tretto,domestic,38,156,1,1.6,0.62,0.02,2.24,0.48,2.72,4084.43,0.447368,1.22,1.5,2257.19,observed: artist's own Nigerian share of listeners this quarter,OBS,"estimated: observations span 84% of the quarter, below the 90% adequacy threshold; subscribers x 6.50 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q1_2026,$tretto,$tretto,domestic,48,150,1,2.02,0.6,0.02,2.64,0.6,3.24,4865.96,0.416667,1.35,1.89,2838.48,observed: artist's own Nigerian share of listeners this quarter,OBS,"estimated: observations span 84% of the quarter, below the 90% adequacy threshold; subscribers x 6.24 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q2_2026,$tretto,$tretto,domestic,35,144,1,1.47,0.58,0.02,2.07,0.44,2.51,3765.06,0.285714,0.72,1.79,2689.33,observed: artist's own Nigerian share of listeners this quarter,OBS,"estimated: observations span 84% of the quarter, below the 90% adequacy threshold; subscribers x 5.99 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q3_2026,$tretto,$tretto,domestic,31,144,1,1.3,0.58,0.02,1.9,0.39,2.29,3437.46,0.16129,0.37,1.92,2883.03,observed: artist's own Nigerian share of listeners this quarter,OBS,"estimated: observations span 1% of the quarter, below the 90% adequacy threshold; subscribers x 5.99 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q1_2019,2baba,2Baba,domestic,103394,6019867,846,4342.55,24079.47,20.3,28442.32,1302.76,29745.08,44617624.81,,,,,not measured: provider published no geography this quarter,UNK,"estimated: subscribers x 13.53 views/month (EST, calibrated)",estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
