variable_name,platform,unit,aggregation_rule,providers,first_observed,last_observed,artists,observations,definition
Amazon_Music_followers_daily,Amazon Music,followers,net_change,soundcharts,2024-06-26,2026-08-11,126,21797,Daily Amazon Music followers for an artist.
Audiomack_followers_daily,Audiomack,followers,net_change,soundcharts,2024-05-13,2026-08-11,89,57293,Daily Audiomack followers. Audiomack is a primary Nigerian DSP.
Audiomack_listeners_daily,Audiomack,listeners,last_value,soundcharts,2024-05-04,2026-08-16,90,69929,
Bandsintown_followers_daily,Bandsintown,followers,net_change,chartmetric+soundcharts,2024-01-01,2026-08-05,96,43480,Daily Bandsintown follower/tracker count for an artist.
Boomplay_followers_daily,Boomplay,followers,net_change,soundcharts,2023-04-04,2026-08-11,118,76396,Daily Boomplay followers. Boomplay is a primary Nigerian DSP.
Deezer_fans_daily,Deezer,fans,net_change,chartmetric+soundcharts,2019-03-19,2026-08-11,129,287541,Daily Deezer fan count for an artist.
Facebook_followers_daily,Facebook,followers,net_change,chartmetric+soundcharts,2019-01-15,2026-08-11,117,133041,Daily Facebook page followers for an artist.
Facebook_likes_daily,Facebook,likes,net_change,chartmetric,2025-01-01,2026-03-31,104,13849,Daily Facebook page likes for an artist.
Facebook_talks_daily,Facebook,talks,sum,chartmetric,2025-01-01,2026-03-31,104,13849,Daily Facebook 'talking about' count for an artist.
Genius_followers_daily,Genius,followers,net_change,soundcharts,2023-05-03,2026-08-11,99,29257,Daily Genius followers for an artist.
Instagram_domestic_followers_daily,Instagram,followers,last_value,soundcharts,2020-01-16,2026-08-16,95,5247,
Instagram_followers_daily,Instagram,followers,net_change,chartmetric+soundcharts,2019-03-19,2026-08-11,125,197883,Daily Instagram follower count for an artist.
Instagram_total_followers_daily,Instagram,followers,last_value,soundcharts,2020-01-16,2026-08-16,95,5247,
Playlist_Amazon_Music_count_daily,Amazon Music,playlists,last_value,soundcharts,2020-08-21,2026-08-07,101,23884,
Playlist_Amazon_Music_editorial_count_daily,Amazon Music,playlists,last_value,soundcharts,2020-08-21,2026-08-07,101,23884,
