id,chartmetric_artist_id,artist_name,country,genres,label,spotify_id,youtube_id,status,notes,metadata_json,created_at,updated_at
a9f8c0c4-d9de-4bf8-a38d-497e3388e9d9,180612,2Baba,NG,,,,,verified,,"{""sp_followers"": 678521, ""sp_monthly_listeners"": 767147, ""cm_score"": 90.61590924642596}",2026-04-03 23:15:28.245192,2026-04-03 23:15:28.245196
04fe7b4a-221d-469c-82d5-737ef69bc507,3683,9ice,NG,,,,,verified,,{},2026-04-04 02:08:12.982823,2026-04-04 02:08:12.982826
4f12335c-e976-4993-a723-ecfc91f29a45,640717,Adekunle Gold,NG,,,,,verified,,"{""sp_followers"": 3223971, ""sp_monthly_listeners"": 2886754, ""cm_score"": 89.7707678597772}",2026-04-03 23:15:28.244182,2026-04-03 23:15:28.244186
fd8b3094-6d65-48fb-978e-38302ca1b7b6,202020,Ajebutter22,NG,,,,,verified,,{},2026-04-04 02:08:12.983961,2026-04-04 02:08:12.983964
b848ca47-2902-409e-8b78-076416c2212a,834689,Amaarae,NG,,,,,verified,,{},2026-04-04 02:08:12.982064,2026-04-04 02:08:12.982067
56f2b356-fbd1-4a1a-8f6d-48d893f3a622,1779041,Asake,NG,,,,,verified,,"{""sp_followers"": 8596225, ""sp_monthly_listeners"": 8645718, ""cm_score"": 94.81515819918627}",2026-04-03 23:15:28.242651,2026-04-03 23:15:28.242654
3231586c-6ce6-4db8-8aa6-dc52531a2be2,4200054,Ayra Starr,NG,,,,,verified,,"{""sp_followers"": 6630371, ""sp_monthly_listeners"": 18057287, ""cm_score"": 93.26252403534261}",2026-04-03 23:15:28.243679,2026-04-03 23:15:28.243683
92b170f8-2024-457e-b594-7e9b561d2fec,63541,Aṣa,NG,,,,,verified,,"{""sp_followers"": 381354, ""sp_monthly_listeners"": 513003, ""cm_score"": 76.34226812719204}",2026-04-03 23:15:28.249491,2026-04-03 23:15:28.249495
85e25e4c-9fef-4000-9cb3-4f8e1036a269,1363515,BNXN,NG,,,,,verified,,"{""sp_followers"": 3560868, ""sp_monthly_listeners"": 4784420, ""cm_score"": 87.01650136414682}",2026-04-03 23:15:28.242900,2026-04-03 23:15:28.242903
dab0245e-5994-4bb0-b85b-e071fd85430a,1596343,Bad Boy Timz,NG,,,,,verified,,{},2026-04-04 02:08:12.982755,2026-04-04 02:08:12.982758
61fec6bd-2720-4867-ae79-fbb2ed677ed2,107373,Banky W.,NG,,,,,verified,,"{""sp_followers"": 312615, ""sp_monthly_listeners"": 358563, ""cm_score"": 72.05030509886714}",2026-04-03 23:15:28.250755,2026-04-03 23:15:28.250758
42262e8c-9925-4c9d-9c95-78884f664031,9591956,Bayanni,NG,,,,,verified,,"{""sp_followers"": 368608, ""sp_monthly_listeners"": 1952463, ""cm_score"": 86.95793757575913}",2026-04-03 23:15:28.254331,2026-04-03 23:15:28.254335
6299097f-d5ac-4f54-99d0-5ef7d51ebfc8,1526513,Bella Shmurda,NG,,,,,verified,,"{""sp_followers"": 2937943, ""sp_monthly_listeners"": 2414528, ""cm_score"": 90.51261210517205}",2026-04-03 23:15:28.247219,2026-04-03 23:15:28.247223
300ae820-a682-4166-b817-1c3149e9572f,880055,Blaqbonez,NG,,,,,verified,,"{""sp_followers"": 1327155, ""sp_monthly_listeners"": 1491371, ""cm_score"": 85.67484463839234}",2026-04-03 23:15:28.251528,2026-04-03 23:15:28.251532
0e2174da-2341-4a67-a23d-cd576aeccece,9901852,Bloody Civilian,NG,,,,,verified,,{},2026-04-04 02:08:12.982962,2026-04-04 02:08:12.982965
79deaf89-574c-4144-afeb-f593adfb2691,317847,Boj,NG,,,,,verified,,{},2026-04-04 02:08:12.982686,2026-04-04 02:08:12.982689
e5fef1de-b820-4945-9626-82525a7fddcc,6124353,Boy Spyce,NG,,,,,verified,,"{""sp_followers"": 805316, ""sp_monthly_listeners"": 890232, ""cm_score"": 84.89086420974853}",2026-04-03 23:15:28.248471,2026-04-03 23:15:28.248475
c6221e02-1cd3-40a3-8afb-bb06c286f0ed,712,Bracket,NG,,,,,verified,,{},2026-04-04 02:08:12.982473,2026-04-04 02:08:12.982475
188116ef-db13-4d97-a984-f6891dffbdd1,15051,Brymo,NG,,,,,verified,,{},2026-04-04 02:08:12.982403,2026-04-04 02:08:12.982406
bfc50228-5e77-4aeb-920a-6874146ad8ac,441923,Burna Boy,NG,,,,,verified,,{},2026-04-03 22:37:25.022135,2026-04-03 22:53:28.066399
d26b073c-a25e-4784-a6ae-a4bd838d8c4d,101087,CDQ,NG,,,,,verified,,{},2026-04-04 02:08:12.982892,2026-04-04 02:08:12.982895
5628fefc-a044-42e1-b419-5b28e97a8d4b,919695,CKay,NG,,,,,verified,,"{""sp_followers"": 1981631, ""sp_monthly_listeners"": 9756638, ""cm_score"": 90.49626137158332}",2026-04-03 23:15:28.241880,2026-04-03 23:15:28.241884
c5ae5829-df12-4cd9-a6f4-289e861b8f9f,1139022,Chike,NG,,,,,verified,,"{""sp_followers"": 1590827, ""sp_monthly_listeners"": 2069674, ""cm_score"": 82.3239788885988}",2026-04-03 23:15:28.253317,2026-04-03 23:15:28.253321
831e0eda-9fcc-4fb9-a5eb-d8d63bdbcfa3,1705853,Crayon,NG,,,,,verified,,"{""sp_followers"": 1288152, ""sp_monthly_listeners"": 1627188, ""cm_score"": 79.97665950226374}",2026-04-03 23:15:28.253822,2026-04-03 23:15:28.253825
419c1e6d-cfaf-47fe-8c7b-f84695babe86,921836,Cruel Santino,NG,,,,,verified,,{},2026-04-04 02:08:12.982927,2026-04-04 02:08:12.982930
e7ea65e7-304a-414c-9fdd-8ea53441cdea,3225,D'banj,NG,,,,,verified,,"{""sp_followers"": 384681, ""sp_monthly_listeners"": 613544, ""cm_score"": 80.74086935720692}",2026-04-03 23:15:28.244942,2026-04-03 23:15:28.244946
771f006e-54e5-4bf1-88a6-5ab3f6e8f539,12822800,DJ Cuppy,NG,,,,,verified,,{},2026-04-04 02:08:12.983924,2026-04-04 02:08:12.983927
8972bacb-cdc9-4f3e-bf9e-c100a366a13b,269281,DJ Neptune,NG,,,,,verified,,{},2026-04-04 02:08:12.982507,2026-04-04 02:08:12.982510
6ccbf056-0219-417f-8fc1-0c0769fe065e,1068888,DJ Spinall,NG,,,,,verified,,{},2026-04-04 02:08:12.983891,2026-04-04 02:08:12.983894
fbfdcaff-69b5-4f1f-b0e0-18da17a6e3bb,423004,Dammy Krane,NG,,,,,verified,,{},2026-04-04 02:08:12.983822,2026-04-04 02:08:12.983824
0c4299e1-f9b6-4f30-b26b-e4bdcc7fdf54,510303,Darey,NG,,,,,verified,,{},2026-04-04 02:08:12.983655,2026-04-04 02:08:12.983658
4a112597-e0af-441e-bbbe-3462c7cc212e,821653,Darkoo,NG,,,,,verified,,{},2026-04-04 02:08:12.983517,2026-04-04 02:08:12.983520
af40072e-b332-429e-9f91-a904ca389a12,4723,Davido,NG,,,,,verified,,"{""sp_followers"": 10511216, ""sp_monthly_listeners"": 9258259, ""cm_score"": 94.14169848256834}",2026-04-03 23:15:28.238740,2026-04-03 23:15:28.238744
5b735552-9c74-48d2-a6f8-1929ef08e93f,627972,Dice Ailes,NG,,,,,verified,,"{""sp_followers"": 195669, ""sp_monthly_listeners"": 197899, ""cm_score"": 58.25594819167246}",2026-04-03 23:15:28.252807,2026-04-03 23:15:28.252810
ee78dcd4-4570-469c-aa3f-4faf69e04fa1,367518,Dremo,NG,,,,,verified,,{},2026-04-04 02:08:12.983029,2026-04-04 02:08:12.983032
3fc7caaf-f63f-4d66-957a-7bf8dc950a74,410515,Duncan Mighty,NG,,,,,verified,,{},2026-04-04 02:08:12.983130,2026-04-04 02:08:12.983133
fd89ed1c-45e4-4246-9b2a-3e0460d690ac,7794895,Ebenezer Obey,NG,,,,,verified,,"{""sp_followers"": null, ""sp_monthly_listeners"": null, ""cm_score"": 0.002078092218738004}",2026-04-03 23:15:28.250243,2026-04-03 23:15:28.250246
81bde07b-85ca-40c4-b3f4-cf08dbc1118d,543431,Eldee,NG,,,,,verified,,{},2026-04-04 02:08:12.983788,2026-04-04 02:08:12.983791
3b368b91-f9b5-4710-bb1e-d5e7559251b9,5416,Falz,NG,,,,,verified,,"{""sp_followers"": 1386790, ""sp_monthly_listeners"": 764933, ""cm_score"": 85.63435010325206}",2026-04-03 23:15:28.251781,2026-04-03 23:15:28.251785
aa5a178f-5156-43be-9cd1-0c6b3db9036e,1194,Fela Kuti,NG,,,,,verified,,"{""sp_followers"": 724891, ""sp_monthly_listeners"": 456213, ""cm_score"": 76.16885508666027}",2026-04-03 23:15:28.249745,2026-04-03 23:15:28.249749
52fa964e-e54e-4da6-b6d0-b230d47c288f,1359817,Fireboy DML,NG,,,,,verified,,"{""sp_followers"": 5156885, ""sp_monthly_listeners"": 8227064, ""cm_score"": 93.00346401144833}",2026-04-03 23:15:28.241096,2026-04-03 23:15:28.241099
