period,artist_name,spotify_monthly_listeners,youtube_subscribers,youtube_actual_views,youtube_views_source,deezer_fans,est_spotify_quarterly_streams,spotify_revenue_usd,youtube_revenue_usd,deezer_revenue_usd,other_platforms_revenue_usd,gross_streaming_revenue_usd,gross_streaming_revenue_ngn,source
Q1_2025,2Baba,484764,454143,5152754,actual,10492,5090022,20360.09,20611.02,251.81,6108.03,47330.94,70996407.6,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,9ice,269245,2578,116010,estimated,9965,2827072,11308.29,464.04,239.16,3392.49,15403.98,23105965.5,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Adekunle Gold,2596487,927333,12988358,actual,191620,27263114,109052.45,51953.43,4598.88,32715.74,198320.5,297480753.3,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Ajebutter22,188079,50213,2259585,estimated,0,1974830,7899.32,9038.34,0,2369.8,19307.45,28961180.1,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Amaarae,5428065,409000,18405000,estimated,30812,56994682,227978.73,73620,739.49,68393.62,370731.84,556097755.5,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Asake,6436023,1582308,55103662,actual,90592,67578242,270312.97,220414.65,2174.21,81093.89,573995.71,860993567.7,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Ayra Starr,17636768,2477500,148718620,actual,176855,185186064,740744.26,594874.48,4244.52,222223.28,1562086.53,2343129799,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Aṣa,352060,944,4116088,actual,134180,3696630,14786.52,16464.35,3220.32,4435.96,38907.15,58360722,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,BNXN,4131181,367000,16515000,estimated,72322,43377400,173509.6,66060,1735.73,52052.88,293358.21,440037315.9,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Bad Boy Timz,538944,14255,641475,estimated,18657,5658912,22635.65,2565.9,447.77,6790.69,32440.01,48660015.6,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Banky W.,284826,574035,660865,actual,9056,2990673,11962.69,2643.46,217.34,3588.81,18412.3,27618455.4,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Bayanni,2007876,187333,8429985,estimated,3516,21082698,84330.79,33719.94,84.38,25299.24,143434.35,215151530.4,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Bella Shmurda,1749110,457200,20574000,estimated,0,18365655,73462.62,82296,0,22038.79,177797.41,266696109,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Blaqbonez,1220392,281455,12665475,estimated,30912,12814116,51256.46,50661.9,741.89,15376.94,118037.19,177055786.8,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Bloody Civilian,933693,15520,698400,estimated,2019,9803776,39215.11,2793.6,48.46,11764.53,53821.69,80732540.7,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Boj,932646,20995,944775,estimated,8721,9792783,39171.13,3779.1,209.3,11751.34,54910.88,82366313.4,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Boy Spyce,578562,122455,5510475,estimated,3184,6074901,24299.6,22041.9,76.42,7289.88,53707.8,80561701.8,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Bracket,496751,1045313,3786861,actual,29874,5215886,20863.54,15147.44,716.98,6259.06,42987.02,64480536.9,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Brymo,233271,62700,2821500,estimated,15447,2449346,9797.38,11286,370.73,2939.21,24393.32,36589986.9,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Burna Boy,184,0,0,estimated,1,1932,7.73,0,0.02,2.32,10.07,15105.6,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,CDQ,70478,0,237489,actual,617,740019,2960.08,949.96,14.81,888.02,4812.86,7219294.2,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,CKay,8265950,4177027,54890374,actual,10,86792475,347169.9,219561.5,0.24,104150.97,670882.61,1006323909,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Chike,2306091,1094643,49258935,estimated,51230,24213956,96855.82,197035.74,1229.52,29056.75,324177.83,486266742.9,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Crayon,1830719,229800,13508297,actual,0,19222550,76890.2,54033.19,0,23067.06,153990.45,230985668.1,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Cruel Santino,609958,5414,243630,estimated,157,6404559,25618.24,974.52,3.77,7685.47,34281.99,51422992.2,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,D'banj,492017,225211,1277085,actual,7623,5166178,20664.71,5108.34,182.95,6199.41,32155.42,48233130.3,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,DJ Cuppy,1,0,0,estimated,0,10,0.04,0,0,0.01,0.05,81.9,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,DJ Neptune,810772,252471,1681563,actual,66,8513106,34052.42,6726.25,1.58,10215.73,50995.99,76493980.8,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,DJ Spinall,12,357667,16095015,estimated,0,126,0.5,64380.06,0,0.15,64380.72,96571072.8,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Dammy Krane,30409,0,0,estimated,550,319294,1277.18,0,13.2,383.15,1673.53,2510297.1,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Darey,59633,73458,3305610,estimated,3802,626146,2504.59,13222.44,91.25,751.38,16569.65,24854474.7,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Darkoo,3807480,291500,13117500,estimated,0,39978540,159914.16,52470,0,47974.25,260358.41,390537612,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Davido,7943838,4362143,99042664,actual,849941,83410299,333641.2,396170.66,20398.58,100092.36,850302.79,1275454192,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Dice Ailes,175462,28017,1260765,estimated,3892,1842351,7369.4,5043.06,93.41,2210.82,14716.69,22075039.8,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Dremo,170740,6974,313830,estimated,10881,1792770,7171.08,1255.32,261.14,2151.32,10838.87,16258302,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Duncan Mighty,362822,2562,1939351,actual,5213,3809631,15238.52,7757.4,125.11,4571.56,27692.6,41538895.8,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Eldee,57899,0,0,estimated,4226,607940,2431.76,0,101.42,729.53,3262.71,4894064.1,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Falz,598692,362488,2039165,actual,722,6286266,25145.06,8156.66,17.33,7543.52,40862.57,61293856.8,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Fela Kuti,529807,232867,899751,actual,193183,5562974,22251.89,3599,4636.39,6675.57,37162.86,55744287.3,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Fireboy DML,7204703,1882857,50333725,actual,329276,75649382,302597.53,201334.9,7902.62,90779.26,602614.31,903921461.7,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Flavour,844237,3610833,162487485,estimated,86323,8864488,35457.95,649949.94,2071.75,10637.39,698117.03,1047175548,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Flavour N'abania,87,3610833,162487485,estimated,3927,914,3.65,649949.94,94.25,1.1,650048.94,975073407.3,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,HarrySong,91465,92378,4157010,estimated,852,960382,3841.53,16628.04,20.45,1152.46,21642.48,32463715.5,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Ice Prince,775408,154241,1829111,actual,47239,8141784,32567.14,7316.44,1133.74,9770.14,50787.46,76181185.2,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Illbliss,222929,12325,554625,estimated,345,2340754,9363.02,2218.5,8.28,2808.91,14398.7,21598055.1,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Iyanya,562973,631000,7927448,actual,0,5911216,23644.87,31709.79,0,7093.46,62448.12,93672176.7,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Jesse Jagz,52104,14860,668700,estimated,5396,547092,2188.37,2674.8,129.5,656.51,5649.18,8473773.6,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Joeboy,3829675,1430000,64350000,estimated,14,40211588,160846.35,257400,0.34,48253.9,466500.59,699750886.5,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Johnny Drille,558408,0,0,estimated,8955,5863284,23453.14,0,214.92,7035.94,30704,46055995.2,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Khaid,970954,510500,22972500,estimated,3616,10195017,40780.07,91890,86.78,12234.02,144990.87,217486308.6,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,King Sunny Ade,90179,23300,1048500,estimated,11219,946880,3787.52,4194,269.26,1136.26,9387.03,14080544.1,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Kizz Daniel,3592170,3339231,150265395,estimated,225576,37717785,150871.14,601061.58,5413.82,45261.34,802607.89,1203911829,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Korede Bello,737386,280023,3071123,actual,22940,7742553,30970.21,12284.49,550.56,9291.06,53096.33,79644491.4,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,LADIPOE,1039057,107200,4824000,estimated,72048,10910098,43640.39,19296,1729.15,13092.12,77757.66,116636496.3,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Lady Donli,158291,6401,288045,estimated,1358,1662056,6648.22,1152.18,32.59,1994.47,9827.46,14741190.9,Chartmetric + SoundCharts API + per-stream rates
