artist_name,country,region,state_area,genre_category,representative_song,in_sample,cm_artist_id,spotify_id,youtube_id,label,source
2Baba,NG,South,Benue,,"African Queen, Implication",Y,180612,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
9ice,NG,South,Oyo,,"Gongo Aso, Photocopy",Y,3683,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Adekunle Gold,NG,South,Lagos,,Sade,Y,640717,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Ajebutter22,NG,,,,,Y,202020,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Amaarae,NG,,,,,Y,834689,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Asake,NG,South,Lagos,,"Lonely at the Top, Sungba",Y,1779041,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Ayra Starr,NG,South,Lagos,,"Rush, Bloody Samaritan",Y,4200054,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Aṣa,NG,,,,,Y,63541,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Bad Boy Timz,NG,South,,,,Y,1596343,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Banky W.,NG,South,Lagos,,Lagos Party,Y,107373,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Bayanni,NG,,,,,Y,9591956,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Bella Shmurda,NG,South,Lagos,,"Cash App, Dagbana",Y,1526513,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Blaqbonez,NG,South,Lagos,,Like Ice Spice,Y,880055,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Bloody Civilian,NG,,,,,Y,9901852,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
BNXN,NG,South,Lagos,,"Gwagwalada, Mood",Y,1363515,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Boj,NG,,,,,Y,317847,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Boy Spyce,NG,,,,,Y,6124353,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Bracket,NG,,,,,Y,712,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Brymo,NG,South,,,,Y,15051,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Burna Boy,NG,South,Rivers,,"Last Last, Ye",Y,441923,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
CDQ,NG,,,,,Y,101087,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Chike,NG,South,Anambra,,"Running, On the Moon",Y,1139022,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
CKay,NG,South,Anambra,,"Love Nwantiti, Emiliana",Y,919695,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Crayon,NG,,,,,Y,1705853,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Cruel Santino,NG,,,,,Y,921836,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
D'banj,NG,South,Ogun,,Fall in Love,Y,3225,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Dammy Krane,NG,,,,,Y,423004,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Darey,NG,,,,,Y,510303,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Darkoo,NG,,,,,Y,821653,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Davido,NG,South,Osun,,"Unavailable, Fall",Y,4723,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
Dice Ailes,NG,,,,,Y,627972,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
DJ Cuppy,NG,,,,,Y,12822800,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
DJ Neptune,NG,South,,,,Y,269281,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
DJ Spinall,NG,,,,,Y,1068888,,,,NMAS sample (delivered Q1 2024 – Q4 2025)
