period,artist_name,total_streaming_revenue_usd,nigeria_domestic_share_pct,domestic_revenue_usd,export_share_pct,gross_export_revenue_usd,gross_export_revenue_ngn,top_export_markets,source
Q1_2025,2Baba,47330.94,30,14199.28,70,33131.66,49697485.32,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,9ice,15403.98,30,4621.19,70,10782.78,16174175.85,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Adekunle Gold,198320.5,30,59496.15,70,138824.35,208236527.3,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Ajebutter22,19307.45,30,5792.24,70,13515.22,20272826.07,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Amaarae,370731.84,30,111219.55,70,259512.29,389268428.9,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Asake,573995.71,30,172198.71,70,401797,602695497.4,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Ayra Starr,1562086.53,30,468625.96,70,1093460.57,1640190859,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Aṣa,38907.15,30,11672.14,70,27235,40852505.4,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,BNXN,293358.21,30,88007.46,70,205350.75,308026121.1,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Bad Boy Timz,32440.01,30,9732,70,22708.01,34062010.92,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Banky W.,18412.3,30,5523.69,70,12888.61,19332918.78,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Bayanni,143434.35,30,43030.31,70,100404.05,150606071.3,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Bella Shmurda,177797.41,30,53339.22,70,124458.18,186687276.3,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Blaqbonez,118037.19,30,35411.16,70,82626.03,123939050.8,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Bloody Civilian,53821.69,30,16146.51,70,37675.19,56512778.49,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Boj,54910.88,30,16473.26,70,38437.61,57656419.38,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Boy Spyce,53707.8,30,16112.34,70,37595.46,56393191.26,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Bracket,42987.02,30,12896.11,70,30090.92,45136375.83,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Brymo,24393.32,30,7318,70,17075.33,25612990.83,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Burna Boy,10.07,30,3.02,70,7.05,10573.92,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,CDQ,4812.86,30,1443.86,70,3369,5053505.94,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,CKay,670882.61,30,201264.78,70,469617.82,704426736.3,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Chike,324177.83,30,97253.35,70,226924.48,340386720,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Crayon,153990.45,30,46197.13,70,107793.31,161689967.7,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Cruel Santino,34281.99,30,10284.6,70,23997.4,35996094.54,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,D'banj,32155.42,30,9646.63,70,22508.79,33763191.21,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,DJ Cuppy,0.05,30,0.02,70,0.04,57.33,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,DJ Neptune,50995.99,30,15298.8,70,35697.19,53545786.56,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,DJ Spinall,64380.72,30,19314.21,70,45066.5,67599750.96,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Dammy Krane,1673.53,30,502.06,70,1171.47,1757207.97,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Darey,16569.65,30,4970.89,70,11598.75,17398132.29,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Darkoo,260358.41,30,78107.52,70,182250.89,273376328.4,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Davido,850302.79,30,255090.84,70,595211.96,892817934.5,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Dice Ailes,14716.69,30,4415.01,70,10301.69,15452527.86,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q1_2025,Dremo,10838.87,30,3251.66,70,7587.21,11380811.4,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
