entity_name,variable_name,period_label,aggregation_rule,aggregated_value,first_value,last_value,obs_count
2Baba,Bandsintown_followers_daily,Q1_2025,net_change,491.0,5133.0,5624.0,90
2Baba,Bandsintown_followers_daily,Q2_2025,net_change,257.0,5625.0,5882.0,31
2Baba,Bandsintown_followers_daily,Q3_2025,net_change,245.0,5903.0,6148.0,30
2Baba,Bandsintown_followers_daily,Q4_2025,net_change,133.0,6152.0,6285.0,15
2Baba,Deezer_fans_daily,Q1_2025,net_change,73.0,10419.0,10492.0,16
2Baba,Deezer_fans_daily,Q1_2026,net_change,56.0,10712.0,10768.0,7
2Baba,Deezer_fans_daily,Q2_2025,net_change,35.0,10505.0,10540.0,8
2Baba,Deezer_fans_daily,Q3_2025,net_change,69.0,10547.0,10616.0,11
2Baba,Deezer_fans_daily,Q4_2025,net_change,73.0,10630.0,10703.0,9
2Baba,Facebook_followers_daily,Q1_2025,net_change,-8648.0,2609651.0,2601003.0,56
2Baba,Facebook_followers_daily,Q1_2026,net_change,0.0,2400000.0,2400000.0,10
2Baba,Facebook_followers_daily,Q2_2025,net_change,-7725.0,2600500.0,2592775.0,14
2Baba,Facebook_followers_daily,Q4_2025,net_change,0.0,2400000.0,2400000.0,14
2Baba,Facebook_likes_daily,Q1_2025,net_change,-8648.0,2609651.0,2601003.0,56
2Baba,Facebook_likes_daily,Q1_2026,net_change,2447121.0,0.0,2447121.0,10
2Baba,Facebook_likes_daily,Q2_2025,net_change,-7725.0,2600500.0,2592775.0,14
2Baba,Facebook_likes_daily,Q4_2025,net_change,0.0,0.0,0.0,14
2Baba,Facebook_talks_daily,Q1_2025,sum,197493.0,1480.0,1650.0,56
2Baba,Facebook_talks_daily,Q1_2026,sum,15845.0,1323.0,3477.0,10
2Baba,Facebook_talks_daily,Q2_2025,sum,119812.0,1271.0,5236.0,14
2Baba,Facebook_talks_daily,Q4_2025,sum,47946.0,5977.0,1970.0,14
2Baba,Instagram_followers_daily,Q1_2025,net_change,-24905.0,8025178.0,8000273.0,33
2Baba,Instagram_followers_daily,Q1_2026,net_change,-15894.0,7781161.0,7765267.0,11
2Baba,Instagram_followers_daily,Q2_2025,net_change,-87746.0,7986989.0,7899243.0,25
2Baba,Instagram_followers_daily,Q4_2025,net_change,2792.0,7802764.0,7805556.0,4
2Baba,Spotify_followers_daily,Q1_2025,net_change,14314.0,587743.0,602057.0,90
2Baba,Spotify_followers_daily,Q1_2026,net_change,17849.0,659892.0,677741.0,90
2Baba,Spotify_followers_daily,Q2_2025,net_change,9942.0,602243.0,612185.0,91
2Baba,Spotify_followers_daily,Q3_2025,net_change,29971.0,612185.0,642156.0,92
2Baba,Spotify_followers_daily,Q4_2025,net_change,17341.0,642332.0,659673.0,92
2Baba,Spotify_monthly_listeners_daily,Q1_2025,net_change,-16350.0,501114.0,484764.0,90
2Baba,Spotify_monthly_listeners_daily,Q1_2026,net_change,-8824.0,772837.0,764013.0,90
2Baba,Spotify_monthly_listeners_daily,Q2_2025,net_change,-11740.0,484118.0,472378.0,91
2Baba,Spotify_monthly_listeners_daily,Q3_2025,net_change,99852.0,472378.0,572230.0,92
2Baba,Spotify_monthly_listeners_daily,Q4_2025,net_change,196882.0,573506.0,770388.0,92
2Baba,Spotify_popularity_daily,Q1_2025,last_value,53.0,54.0,53.0,84
2Baba,Spotify_popularity_daily,Q1_2026,last_value,55.0,56.0,55.0,73
