entity_type,entity_name,chartmetric_entity_id,variable_name,platform,geo_scope,geo_label,period_label,aggregation_rule,aggregated_value,unit,qoq_change,yoy_change
artist,9ice,3683,Bandsintown_followers_daily,Bandsintown,global,,Q1_2024,net_change,43.0,followers,,
artist,9ice,3683,Bandsintown_followers_daily,Bandsintown,global,,Q1_2025,net_change,64.0,followers,-48.0,21.0
artist,9ice,3683,Bandsintown_followers_daily,Bandsintown,global,,Q2_2024,net_change,47.0,followers,4.0,
artist,9ice,3683,Bandsintown_followers_daily,Bandsintown,global,,Q2_2025,net_change,92.0,followers,28.0,45.0
artist,9ice,3683,Bandsintown_followers_daily,Bandsintown,global,,Q3_2024,net_change,40.0,followers,-7.0,
artist,9ice,3683,Bandsintown_followers_daily,Bandsintown,global,,Q3_2025,net_change,131.0,followers,39.0,91.0
artist,9ice,3683,Bandsintown_followers_daily,Bandsintown,global,,Q4_2024,net_change,112.0,followers,72.0,
artist,9ice,3683,Bandsintown_followers_daily,Bandsintown,global,,Q4_2025,net_change,61.0,followers,-70.0,-51.0
artist,9ice,3683,Instagram_followers_daily,Instagram,global,,Q1_2024,net_change,-1414.0,followers,,
artist,9ice,3683,Instagram_followers_daily,Instagram,global,,Q1_2025,net_change,-1939.0,followers,7531.0,-525.0
artist,9ice,3683,Instagram_followers_daily,Instagram,global,,Q2_2024,net_change,-29033.0,followers,-27619.0,
artist,9ice,3683,Instagram_followers_daily,Instagram,global,,Q2_2025,net_change,-32593.0,followers,-30654.0,-3560.0
artist,9ice,3683,Instagram_followers_daily,Instagram,global,,Q3_2024,net_change,-45218.0,followers,-16185.0,
artist,9ice,3683,Instagram_followers_daily,Instagram,global,,Q3_2025,net_change,-40317.0,followers,-7724.0,4901.0
artist,9ice,3683,Instagram_followers_daily,Instagram,global,,Q4_2024,net_change,-9470.0,followers,35748.0,
artist,9ice,3683,Instagram_followers_daily,Instagram,global,,Q4_2025,net_change,-7596.0,followers,32721.0,1874.0
artist,9ice,3683,Spotify_followers_daily,Spotify,global,,Q1_2024,net_change,10353.0,followers,,
artist,9ice,3683,Spotify_followers_daily,Spotify,global,,Q1_2025,net_change,8308.0,followers,-1583.0,-2045.0
