artist_name,nigerian_heritage,provider_country_of_residence,residence_classification,national_accounts_treatment,included_in_domestic_production,gni_relevant,evidence,needs_nbs_adjudication,quarters_with_revenue,gross_revenue_usd,gross_revenue_ngn,operating_cost_ngn
2Baba,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,1339369.98,1214247378.06,64480000.0
9ice,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,406603.46,457837773.61,64480000.0
Adekunle Gold,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,4136526.49,4698351148.27,64480000.0
Ajebutter22,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,503473.9,394980531.21,64480000.0
Amaarae,Y,GH,diaspora_candidate,Separate — input to GNI compilation,N,Y,provider registers the artist in GH,Y,31,8510021.11,8956313473.6,64480000.0
Asake,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,29,10580075.97,13007220335.56,60320000.0
Ayra Starr,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,23,21064373.03,27241529574.69,47840000.0
Aṣa,Y,FR,diaspora_candidate,Separate — input to GNI compilation,N,Y,provider registers the artist in FR,Y,31,930877.72,794905639.04,64480000.0
BNXN,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,30,6322014.5,7378394303.56,62400000.0
Bad Boy Timz,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,29,642819.11,731468471.06,60320000.0
Banky W.,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,997904.84,721223265.27,64480000.0
Bayanni,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,17,2115995.53,2815036278.08,35360000.0
Bella Shmurda,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,2354581.19,2925423899.64,64480000.0
