period,artists,gross_revenue_usd,gross_revenue_ngn,operating_cost_ngn,net_ngn,ngn_per_usd,ngn_rate_basis
Q1_2019,86,1734756.74,532431538.64,178880000.0,353551538.64,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q2_2019,100,2124599.3,652082017.16,208000000.0,444082017.16,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q3_2019,106,3045881.6,934841980.67,220480000.0,714361980.67,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q4_2019,107,3732932.58,1145711667.45,222560000.0,923151667.45,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2020,107,3776207.34,1354940955.67,222560000.0,1132380955.67,358.81,CBN annual average official rate 358.81 NGN/USD for 2020 (ASM)
Q2_2020,107,4039953.3,1449575643.57,222560000.0,1227015643.57,358.81,CBN annual average official rate 358.81 NGN/USD for 2020 (ASM)
Q3_2020,107,4835383.75,1734984043.34,222560000.0,1512424043.34,358.81,CBN annual average official rate 358.81 NGN/USD for 2020 (ASM)
Q4_2020,108,5122885.37,1838142499.61,224640000.0,1613502499.61,358.81,CBN annual average official rate 358.81 NGN/USD for 2020 (ASM)
Q1_2021,109,5260519.85,2110257537.83,226720000.0,1883537537.83,401.15,CBN annual average official rate 401.15 NGN/USD for 2021 (ASM)
Q2_2021,109,6043073.64,2424178990.69,226720000.0,2197458990.69,401.15,CBN annual average official rate 401.15 NGN/USD for 2021 (ASM)
Q3_2021,109,7354867.53,2950405109.66,226720000.0,2723685109.66,401.15,CBN annual average official rate 401.15 NGN/USD for 2021 (ASM)
Q4_2021,110,11310123.59,4537056078.13,228800000.0,4308256078.13,401.15,CBN annual average official rate 401.15 NGN/USD for 2021 (ASM)
Q1_2022,111,11108217.28,4731878396.93,230880000.0,4500998396.93,425.98,CBN annual average official rate 425.98 NGN/USD for 2022 (ASM)
Q2_2022,111,12326496.51,5250840983.33,230880000.0,5019960983.33,425.98,CBN annual average official rate 425.98 NGN/USD for 2022 (ASM)
Q3_2022,112,15113153.15,6437900978.84,232960000.0,6204940978.84,425.98,CBN annual average official rate 425.98 NGN/USD for 2022 (ASM)
Q4_2022,115,16397147.11,6984856725.92,239200000.0,6745656725.92,425.98,CBN annual average official rate 425.98 NGN/USD for 2022 (ASM)
Q1_2023,115,17685387.36,11407074847.2,239200000.0,11167874847.2,645.0,CBN annual average official rate 645.00 NGN/USD for 2023 (ASM)
Q2_2023,115,19835363.87,12793809696.15,239200000.0,12554609696.15,645.0,CBN annual average official rate 645.00 NGN/USD for 2023 (ASM)
Q3_2023,115,19123962.11,12334955560.95,239200000.0,12095755560.95,645.0,CBN annual average official rate 645.00 NGN/USD for 2023 (ASM)
Q4_2023,115,19202200.57,12385419367.65,239200000.0,12146219367.65,645.0,CBN annual average official rate 645.00 NGN/USD for 2023 (ASM)
Q1_2024,115,18925887.86,27972462257.08,239200000.0,27733262257.08,1478.0,CBN annual average official rate 1478.00 NGN/USD for 2024 (ASM)
Q2_2024,115,20567098.53,30398171627.34,239200000.0,30158971627.34,1478.0,CBN annual average official rate 1478.00 NGN/USD for 2024 (ASM)
Q3_2024,115,21251401.27,31409571077.06,239200000.0,31170371077.06,1478.0,CBN annual average official rate 1478.00 NGN/USD for 2024 (ASM)
Q4_2024,115,20776292.07,30707359679.46,239200000.0,30468159679.46,1478.0,CBN annual average official rate 1478.00 NGN/USD for 2024 (ASM)
Q1_2025,116,19726177.96,30181052278.8,241280000.0,29939772278.8,1530.0,CBN annual average official rate 1530.00 NGN/USD for 2025 (ASM)
Q2_2025,116,22002616.62,33664003428.6,241280000.0,33422723428.6,1530.0,CBN annual average official rate 1530.00 NGN/USD for 2025 (ASM)
Q3_2025,116,22238833.78,34025415683.4,241280000.0,33784135683.4,1530.0,CBN annual average official rate 1530.00 NGN/USD for 2025 (ASM)
Q4_2025,116,22949030.36,35112016450.8,241280000.0,34870736450.8,1530.0,CBN annual average official rate 1530.00 NGN/USD for 2025 (ASM)
Q1_2026,116,23148420.77,35417083778.1,241280000.0,35175803778.1,1530.0,CBN annual average official rate 1530.00 NGN/USD for 2026 (carried from 2025; 2026 incomplete) (ASM)
Q2_2026,115,25913259.22,39647286606.6,239200000.0,39408086606.6,1530.0,CBN annual average official rate 1530.00 NGN/USD for 2026 (carried from 2025; 2026 incomplete) (ASM)
Q3_2026,115,26858044.76,41092808482.8,239200000.0,40853608482.8,1530.0,CBN annual average official rate 1530.00 NGN/USD for 2026 (carried from 2025; 2026 incomplete) (ASM)
