period,artists,gross_revenue_usd,gross_revenue_ngn,operating_cost_ngn,net_ngn,ngn_per_usd,ngn_rate_basis
Q1_2019,6,138052.57,42371094.78,12480000.0,29891094.78,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q2_2019,8,163060.8,50046620.74,16640000.0,33406620.74,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q3_2019,11,185561.92,56952664.49,22880000.0,34072664.49,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q4_2019,11,233156.48,71560386.84,22880000.0,48680386.84,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2020,11,273791.47,98239117.35,22880000.0,75359117.35,358.81,CBN annual average official rate 358.81 NGN/USD for 2020 (ASM)
Q2_2020,11,318912.13,114428861.37,22880000.0,91548861.37,358.81,CBN annual average official rate 358.81 NGN/USD for 2020 (ASM)
Q3_2020,11,346379.01,124284252.58,22880000.0,101404252.58,358.81,CBN annual average official rate 358.81 NGN/USD for 2020 (ASM)
Q4_2020,11,308618.13,110735271.23,22880000.0,87855271.23,358.81,CBN annual average official rate 358.81 NGN/USD for 2020 (ASM)
Q1_2021,11,307613.94,123399332.03,22880000.0,100519332.03,401.15,CBN annual average official rate 401.15 NGN/USD for 2021 (ASM)
Q2_2021,11,724929.25,290805368.64,22880000.0,267925368.64,401.15,CBN annual average official rate 401.15 NGN/USD for 2021 (ASM)
Q3_2021,11,604564.98,242521241.73,22880000.0,219641241.73,401.15,CBN annual average official rate 401.15 NGN/USD for 2021 (ASM)
Q4_2021,11,934389.92,374830516.41,22880000.0,351950516.41,401.15,CBN annual average official rate 401.15 NGN/USD for 2021 (ASM)
Q1_2022,11,1066089.04,454132609.26,22880000.0,431252609.26,425.98,CBN annual average official rate 425.98 NGN/USD for 2022 (ASM)
Q2_2022,11,923791.95,393516894.86,22880000.0,370636894.86,425.98,CBN annual average official rate 425.98 NGN/USD for 2022 (ASM)
Q3_2022,12,867607.34,369583374.69,24960000.0,344623374.69,425.98,CBN annual average official rate 425.98 NGN/USD for 2022 (ASM)
Q4_2022,12,801337.42,341353714.17,24960000.0,316393714.17,425.98,CBN annual average official rate 425.98 NGN/USD for 2022 (ASM)
Q1_2023,12,1477937.1,953269429.5,24960000.0,928309429.5,645.0,CBN annual average official rate 645.00 NGN/USD for 2023 (ASM)
Q2_2023,12,2487573.94,1604485191.3,24960000.0,1579525191.3,645.0,CBN annual average official rate 645.00 NGN/USD for 2023 (ASM)
Q3_2023,12,2147948.93,1385427059.85,24960000.0,1360467059.85,645.0,CBN annual average official rate 645.00 NGN/USD for 2023 (ASM)
Q4_2023,12,1855125.81,1196556147.45,24960000.0,1171596147.45,645.0,CBN annual average official rate 645.00 NGN/USD for 2023 (ASM)
Q1_2024,12,2159168.83,3191251530.74,24960000.0,3166291530.74,1478.0,CBN annual average official rate 1478.00 NGN/USD for 2024 (ASM)
Q2_2024,12,2040440.65,3015771280.7,24960000.0,2990811280.7,1478.0,CBN annual average official rate 1478.00 NGN/USD for 2024 (ASM)
Q3_2024,12,2216842.49,3276493200.22,24960000.0,3251533200.22,1478.0,CBN annual average official rate 1478.00 NGN/USD for 2024 (ASM)
Q4_2024,12,1979882.97,2926267029.66,24960000.0,2901307029.66,1478.0,CBN annual average official rate 1478.00 NGN/USD for 2024 (ASM)
Q1_2025,12,1815972.15,2778437389.5,24960000.0,2753477389.5,1530.0,CBN annual average official rate 1530.00 NGN/USD for 2025 (ASM)
Q2_2025,12,1811599.63,2771747433.9,24960000.0,2746787433.9,1530.0,CBN annual average official rate 1530.00 NGN/USD for 2025 (ASM)
Q3_2025,12,1723006.85,2636200480.5,24960000.0,2611240480.5,1530.0,CBN annual average official rate 1530.00 NGN/USD for 2025 (ASM)
Q4_2025,12,1620395.97,2479205834.1,24960000.0,2454245834.1,1530.0,CBN annual average official rate 1530.00 NGN/USD for 2025 (ASM)
Q1_2026,12,1573351.04,2407227091.2,24960000.0,2382267091.2,1530.0,CBN annual average official rate 1530.00 NGN/USD for 2026 (carried from 2025; 2026 incomplete) (ASM)
Q2_2026,12,1629648.77,2493362618.1,24960000.0,2468402618.1,1530.0,CBN annual average official rate 1530.00 NGN/USD for 2026 (carried from 2025; 2026 incomplete) (ASM)
Q3_2026,12,1566662.9,2396994237.0,24960000.0,2372034237.0,1530.0,CBN annual average official rate 1530.00 NGN/USD for 2026 (carried from 2025; 2026 incomplete) (ASM)
