entity_name,variable_name,period_label,aggregation_rule,aggregated_value,first_value,last_value,obs_count
2Baba,Amazon_Music_followers_daily,Q1_2025,net_change,21.0,795.0,816.0,23
2Baba,Amazon_Music_followers_daily,Q1_2026,net_change,35.0,893.0,928.0,20
2Baba,Amazon_Music_followers_daily,Q2_2024,net_change,0.0,749.0,749.0,2
2Baba,Amazon_Music_followers_daily,Q2_2025,net_change,12.0,815.0,828.0,23
2Baba,Amazon_Music_followers_daily,Q2_2026,net_change,72.0,929.0,1001.0,16
2Baba,Amazon_Music_followers_daily,Q3_2024,net_change,15.0,749.0,764.0,25
2Baba,Amazon_Music_followers_daily,Q3_2025,net_change,26.0,828.0,854.0,24
2Baba,Amazon_Music_followers_daily,Q3_2026,net_change,57.0,1025.0,1082.0,8
2Baba,Amazon_Music_followers_daily,Q4_2024,net_change,31.0,764.0,795.0,23
2Baba,Amazon_Music_followers_daily,Q4_2025,net_change,36.0,855.0,891.0,22
2Baba,Audiomack_followers_daily,Q1_2025,net_change,776.0,178638.0,179414.0,11
2Baba,Audiomack_followers_daily,Q1_2026,net_change,14396.0,221610.0,236006.0,89
2Baba,Audiomack_followers_daily,Q2_2025,net_change,7614.0,179504.0,187118.0,91
2Baba,Audiomack_followers_daily,Q2_2026,net_change,13551.0,236322.0,249873.0,91
2Baba,Audiomack_followers_daily,Q3_2025,net_change,18411.0,187207.0,205618.0,92
2Baba,Audiomack_followers_daily,Q3_2026,net_change,4828.0,249952.0,254780.0,42
2Baba,Audiomack_followers_daily,Q4_2025,net_change,15700.0,205775.0,221475.0,92
2Baba,Audiomack_listeners_daily,Q1_2025,last_value,32561356.0,32381380.0,32561356.0,12
2Baba,Audiomack_listeners_daily,Q1_2026,last_value,41545263.0,39436705.0,41545263.0,90
2Baba,Audiomack_listeners_daily,Q2_2025,last_value,34113675.0,32578196.0,34113675.0,91
2Baba,Audiomack_listeners_daily,Q2_2026,last_value,43555119.0,41574774.0,43555119.0,91
2Baba,Audiomack_listeners_daily,Q3_2025,last_value,36714128.0,34131543.0,36714128.0,92
2Baba,Audiomack_listeners_daily,Q3_2026,last_value,44708216.0,43575554.0,44708216.0,47
2Baba,Audiomack_listeners_daily,Q4_2025,last_value,39412421.0,36741403.0,39412421.0,92
2Baba,Bandsintown_followers_daily,Q1_2024,net_change,51.0,9093.0,9144.0,31
2Baba,Bandsintown_followers_daily,Q1_2025,net_change,491.0,5133.0,5624.0,90
2Baba,Bandsintown_followers_daily,Q1_2026,net_change,136.0,10766.0,10902.0,46
2Baba,Bandsintown_followers_daily,Q2_2024,net_change,210.0,9149.0,9359.0,46
2Baba,Bandsintown_followers_daily,Q2_2025,net_change,257.0,5625.0,10504.0,60
2Baba,Bandsintown_followers_daily,Q2_2026,net_change,369.0,10909.0,11278.0,38
2Baba,Bandsintown_followers_daily,Q3_2024,net_change,178.0,9360.0,9538.0,81
2Baba,Bandsintown_followers_daily,Q3_2025,net_change,144.0,0.0,10652.0,60
2Baba,Bandsintown_followers_daily,Q3_2026,net_change,110.0,11298.0,11408.0,11
2Baba,Bandsintown_followers_daily,Q4_2024,net_change,776.0,9539.0,10315.0,41
2Baba,Bandsintown_followers_daily,Q4_2025,net_change,110.0,6152.0,10764.0,52
2Baba,Boomplay_followers_daily,Q1_2024,net_change,12.0,6590.0,6602.0,90
2Baba,Boomplay_followers_daily,Q1_2025,net_change,6.0,6630.0,6636.0,45
2Baba,Boomplay_followers_daily,Q1_2026,net_change,4.0,6654.0,6658.0,44
