period,account,platform,revenue_usd,revenue_ngn,revenue_share_of_quarter_pct,direct_cost_ngn,shared_cost_allocated_ngn,cost_allocation_basis,total_cost_ngn,net_operating_result_ngn,revenue_measurement_basis,classification
Q1_2019,domestic_production,Spotify,605700.12,185901480.83,34.9156,0.0,62456962.97,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (34.9156%).",62456962.97,123444517.86,observed monthly listeners x streams/listener x rate,EST
Q1_2019,domestic_production,YouTube,914134.48,280566154.6,52.6953,0.0,94261271.34,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (52.6953%).",94261271.34,186304883.26,channel view volume x rate,EST
Q1_2019,domestic_production,Deezer,33212.05,10193442.39,1.9145,0.0,3424671.23,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (1.9145%).",3424671.23,6768771.15,observed fans x streams/fan x rate,EST
Q1_2019,domestic_production,Other digital platforms,181710.01,55770436.27,10.4747,0.0,18737086.21,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (10.4747%).",18737086.21,37033350.06,"ASSUMPTION: a flat uplift on Spotify revenue. No platform in this bucket (Apple Music, Amazon, Boomplay, Audiomack, Tidal) was ever queried; nothing here is measured.",ASM
Q1_2019,gni_diaspora,Spotify,52881.91,16230515.82,38.3056,0.0,4780542.93,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (38.3056%).",4780542.93,11449972.89,observed monthly listeners x streams/listener x rate,EST
Q1_2019,gni_diaspora,YouTube,66420.88,20385896.49,48.1127,0.0,6004470.49,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (48.1127%).",6004470.49,14381426.0,channel view volume x rate,EST
Q1_2019,gni_diaspora,Deezer,2885.21,885528.65,2.0899,0.0,260823.98,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (2.0899%).",260823.98,624704.67,observed fans x streams/fan x rate,EST
Q1_2019,gni_diaspora,Other digital platforms,15864.59,4869159.96,11.4917,0.0,1434164.41,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (11.4917%).",1434164.41,3434995.55,"ASSUMPTION: a flat uplift on Spotify revenue. No platform in this bucket (Apple Music, Amazon, Boomplay, Audiomack, Tidal) was ever queried; nothing here is measured.",ASM
Q2_2019,domestic_production,Spotify,861388.88,264377475.05,40.5436,0.0,84330672.16,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (40.5436%).",84330672.16,180046802.89,observed monthly listeners x streams/listener x rate,EST
Q2_2019,domestic_production,YouTube,969979.13,297705994.58,45.6547,0.0,94961745.98,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (45.6547%).",94961745.98,202744248.6,channel view volume x rate,EST
Q2_2019,domestic_production,Deezer,34814.67,10685318.52,1.6386,0.0,3408384.52,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (1.6386%).",3408384.52,7276934.0,observed fans x streams/fan x rate,EST
Q2_2019,domestic_production,Other digital platforms,258416.64,79313235.15,12.1631,0.0,25299199.3,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (12.1631%).",25299199.3,54014035.85,"ASSUMPTION: a flat uplift on Spotify revenue. No platform in this bucket (Apple Music, Amazon, Boomplay, Audiomack, Tidal) was ever queried; nothing here is measured.",ASM
Q2_2019,gni_diaspora,Spotify,67921.22,20846380.84,41.6539,0.0,6931212.78,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (41.6539%).",6931212.78,13915168.06,observed monthly listeners x streams/listener x rate,EST
