period,artists_with_revenue,artists_in_cohort,coverage_pct,gross_streaming_revenue_usd
Q1_2019,92,129,71.32,1872809.25
Q2_2019,108,129,83.72,2323531.26
Q3_2019,117,129,90.7,3218095.33
Q4_2019,118,129,91.47,4262610.88
Q1_2020,118,129,91.47,3987655.09
Q2_2020,118,129,91.47,4568628.61
Q3_2020,118,129,91.47,5247193.78
Q4_2020,119,129,92.25,5432177.22
Q1_2021,120,129,93.02,5875850.44
Q2_2021,120,129,93.02,6942911.89
Q3_2021,120,129,93.02,8947551.25
Q4_2021,121,129,93.8,12461372.1
Q1_2022,122,129,94.57,12521951.57
Q2_2022,122,129,94.57,13725097.33
Q3_2022,125,129,96.9,16545709.43
Q4_2022,127,129,98.45,17741765.98
Q1_2023,127,129,98.45,19660200.27
Q2_2023,127,129,98.45,23324850.92
Q3_2023,127,129,98.45,20941810.56
Q4_2023,127,129,98.45,21429687.92
Q1_2024,127,129,98.45,20850157.48
Q2_2024,127,129,98.45,23032018.33
Q3_2024,127,129,98.45,23051208.35
Q4_2024,128,129,99.22,23152245.93
Q1_2025,129,129,100.0,20985647.25
Q2_2025,129,129,100.0,24001481.19
Q3_2025,129,129,100.0,23834738.27
Q4_2025,128,129,99.22,24891805.4
Q1_2026,128,129,99.22,25010047.72
Q2_2026,127,129,98.45,28565091.87
Q3_2026,127,129,98.45,28556131.57
