entity_name,observations,distinct_variables,first_observation,last_observation
2Baba,41354,49,2019-01-01,2026-08-16
9ice,27382,49,2019-01-01,2026-08-15
Adekunle Gold,38856,59,2019-01-01,2026-08-16
Ajebutter22,28600,47,2019-01-01,2026-08-16
Amaarae,42325,57,2019-01-04,2026-08-16
Asake,34828,59,2019-09-15,2026-08-16
Ayra Starr,32283,58,2021-01-22,2026-08-15
Aṣa,34863,53,2019-01-01,2026-08-15
BNXN,29290,55,2019-01-04,2026-08-15
Bad Boy Timz,33358,54,2019-06-14,2026-08-16
Banky W.,40428,52,2019-01-01,2026-08-16
Bayanni,22269,53,2022-08-24,2026-08-16
Bella Shmurda,34673,56,2019-03-15,2026-08-16
Blaqbonez,37133,56,2019-01-03,2026-08-16
Bloody Civilian,21661,54,2022-08-21,2026-08-16
Boj,33796,50,2019-01-03,2026-08-15
Boy Spyce,21105,54,2021-10-04,2026-08-16
Bracket,26608,46,2019-01-01,2026-08-16
Brymo,35228,47,2019-01-01,2026-08-16
Burna Boy,44916,54,2019-01-01,2026-08-16
CDQ,32245,57,2019-01-01,2026-08-15
CKay,37892,58,2019-01-04,2026-08-16
Chike,32294,54,2019-01-04,2026-08-16
Crayon,26963,51,2019-06-01,2026-08-15
Cruel Santino,33573,55,2019-01-01,2026-08-15
D'banj,39389,56,2019-01-01,2026-08-15
DJ Cuppy,2460,10,2023-06-06,2026-08-15
DJ Neptune,40394,58,2019-01-01,2026-08-16
DJ Spinall,11825,18,2019-01-04,2026-08-15
Dammy Krane,30760,40,2019-01-01,2026-08-16
Darey,30404,49,2019-01-01,2026-08-16
Darkoo,36860,54,2019-01-04,2026-08-16
Davido,39963,56,2019-01-01,2026-08-16
Dice Ailes,33535,52,2019-01-01,2026-08-16
Dremo,32056,46,2019-01-01,2026-08-16
Duncan Mighty,30770,49,2019-01-01,2026-08-15
Ebenezer Obey,6086,22,2019-01-04,2026-08-15
Eldee,27364,36,2019-01-03,2026-08-15
Falz,39417,59,2019-01-04,2026-08-16
Fela Kuti,39903,57,2019-01-01,2026-08-16
Fireboy DML,37810,59,2019-01-04,2026-08-16
Flavour,36399,52,2019-01-01,2026-08-15
Flavour N'abania,13671,28,2019-01-04,2026-08-15
HarrySong,33198,48,2019-01-01,2026-08-16
Ice Prince,44743,57,2019-01-01,2026-08-16
Illbliss,30089,40,2019-01-01,2026-08-16
Iyanya,44614,57,2019-01-01,2026-08-15
Jesse Jagz,31173,43,2019-01-01,2026-08-16
Joeboy,37577,55,2019-01-04,2026-08-15
Johnny Drille,35183,57,2019-01-01,2026-08-16
Khaid,25244,56,2022-01-26,2026-08-16
King Sunny Ade,27628,49,2019-01-01,2026-08-15
Kizz Daniel,38246,59,2019-01-01,2026-08-16
Korede Bello,45797,59,2019-01-01,2026-08-16
LADIPOE,32572,55,2019-01-01,2026-08-16
Lady Donli,33044,50,2019-01-04,2026-08-16
Lagbaja,21274,45,2019-01-01,2026-08-15
Libianca,29896,59,2019-09-15,2026-08-16
Lil Kesh,37533,55,2019-01-01,2026-08-16
Lojay,30941,52,2019-01-16,2026-08-16
Lyta,25740,40,2019-01-02,2026-08-16
M.I. Abaga,33392,48,2019-01-01,2026-08-16
Magixx,26102,54,2019-01-03,2026-08-16
Maleek Berry,48063,58,2019-01-01,2026-08-16
Mannywellz,34552,53,2019-01-04,2026-08-16
Mayorkun,37972,56,2019-01-01,2026-08-15
Mohbad,29199,52,2019-05-17,2026-08-15
Mr Eazi,47527,58,2019-01-01,2026-08-16
Mr Real,25792,45,2019-01-01,2026-08-16
Naeto C,32754,42,2019-01-01,2026-08-16
Naira Marley,39806,55,2019-01-01,2026-08-16
Niniola,40688,57,2019-01-01,2026-08-16
Nonso Amadi,39988,54,2019-01-01,2026-08-16
ODUMODUBLVCK,28444,54,2019-07-10,2026-08-16
Odunsi,6329,14,2019-01-04,2026-08-15
Odunsi (The Engine),33772,52,2019-01-01,2026-08-16
Olakira,28764,45,2019-01-25,2026-08-16
Olamide,44039,59,2019-01-01,2026-08-16
Olu Maintain,19992,32,2019-01-01,2026-08-16
Omah Lay,38477,57,2019-10-24,2026-08-16
Oritsefemi,10137,16,2019-01-04,2026-08-15
Oxlade,37697,57,2019-01-01,2026-08-15
P-Square,36681,51,2019-01-01,2026-08-16
Patoranking,45807,58,2019-01-01,2026-08-16
Peruzzi,29196,54,2019-01-01,2026-08-16
Pheelz,33024,57,2019-01-04,2026-08-15
Phyno,43730,57,2019-01-01,2026-08-16
Portable,4791,21,2023-01-27,2026-08-15
Praiz,30441,47,2019-01-01,2026-08-16
Prettyboy D-O,27010,42,2019-01-04,2026-08-15
Qing Madi,21897,56,2022-10-14,2026-08-16
Reekado Banks,46521,59,2019-01-01,2026-08-16
Rema,39819,57,2019-03-19,2026-08-15
Reminisce,36583,50,2019-01-01,2026-08-16
Ric Hassani,34924,56,2019-01-02,2026-08-15
Rude Boy,16406,30,2019-01-04,2026-08-15
Ruger,29422,57,2020-10-17,2026-08-15
Sarz,33300,55,2019-01-01,2026-08-16
Sauce Kid,13493,28,2019-01-04,2026-08-15
Sean Tizzle,30690,42,2019-01-01,2026-08-16
Seyi Shay,40716,53,2019-01-01,2026-08-16
Seyi Vibez,28179,51,2019-07-05,2026-08-16
Shallipopi,19759,55,2022-10-08,2026-08-15
Show Dem Camp,28117,51,2019-01-03,2026-08-15
Simi,39100,57,2019-01-01,2026-08-15
Skiibii,31120,50,2019-01-01,2026-08-16
Small Doctor,27873,42,2019-01-01,2026-08-16
Solidstar,26913,41,2019-01-01,2026-08-16
Sound Sultan,29465,38,2019-01-01,2026-08-15
Spyro,25148,54,2019-01-04,2026-08-16
Tay Iwar,33548,54,2019-01-04,2026-08-16
Tekno,38608,59,2019-01-01,2026-08-16
Tempoe,14142,46,2020-10-05,2026-08-16
Tems,38611,57,2019-01-04,2026-08-15
Teni,40015,59,2019-01-04,2026-08-16
Terri,32167,49,2019-01-01,2026-08-16
Terry Apala,25873,38,2019-01-01,2026-08-15
Timaya,46403,59,2019-01-01,2026-08-16
Tiwa Savage,47125,59,2019-01-01,2026-08-16
Vector,33513,52,2019-01-01,2026-08-16
Victony,30896,55,2019-09-14,2026-08-15
Waje,33091,43,2019-01-01,2026-08-16
Wande Coal,45144,59,2019-01-01,2026-08-16
Wizkid,46043,57,2019-01-01,2026-08-15
WurlD,40097,53,2019-01-01,2026-08-15
Ycee,37289,53,2019-01-01,2026-08-16
Yemi Alade,47255,59,2019-01-01,2026-08-16
Young Jonn,29139,55,2019-01-04,2026-08-15
Yung6ix,29362,42,2019-01-01,2026-08-16
Zinoleesky,32660,53,2019-06-07,2026-08-16
Zlatan,31915,57,2019-01-04,2026-08-16
