artist_name,first_quarter,first_usd,last_quarter,last_usd,total_usd,quarters_with_revenue,cagr_pct,classification
Burna Boy,Q1_2019,186236.59,Q2_2026,3036780.74,42960525.64,31,46.97,OBS
Rema,Q1_2019,13047.64,Q2_2026,2022343.05,37196147.88,31,100.5,OBS
Tems,Q1_2019,0.0,Q2_2026,2542924.08,25547585.57,30,,UNK
Wizkid,Q1_2019,228235.62,Q2_2026,1287564.18,24381708.74,31,26.95,OBS
CKay,Q1_2019,85.18,Q2_2026,787978.34,22213149.53,31,252.42,OBS
Ayra Starr,Q1_2019,0.0,Q2_2026,1382238.77,21212971.67,23,,UNK
Davido,Q1_2019,0.0,Q2_2026,988820.34,18832180.06,30,,UNK
Omah Lay,Q1_2019,0.0,Q2_2026,1079009.1,15352902.46,28,,UNK
Fireboy DML,Q1_2019,5183.25,Q2_2026,699292.22,14554700.62,31,96.7,OBS
Kizz Daniel,Q1_2019,13198.43,Q2_2026,447818.47,10816064.97,31,62.6,OBS
Asake,Q1_2019,0.0,Q2_2026,947262.58,10729833.18,29,,UNK
Libianca,Q1_2019,0.0,Q2_2026,437255.96,10347004.49,29,,UNK
Mr Eazi,Q1_2019,197878.98,Q2_2026,280354.33,10114272.17,31,4.92,OBS
Amaarae,Q1_2019,2294.34,Q2_2026,367371.13,8484168.21,31,101.4,OBS
Victony,Q1_2019,0.0,Q2_2026,460075.44,7410299.61,29,,UNK
Flavour,Q1_2019,170422.86,Q2_2026,276574.69,7216616.44,31,6.91,OBS
Oxlade,Q1_2019,308.81,Q2_2026,331953.8,6823995.85,31,161.89,OBS
Ruger,Q1_2019,0.0,Q2_2026,510451.7,6746466.29,24,,UNK
Olamide,Q1_2019,37947.71,Q2_2026,367389.93,6528915.83,31,36.77,OBS
BNXN,Q1_2019,0.0,Q2_2026,453303.98,6424843.67,30,,UNK
Joeboy,Q1_2019,2371.93,Q2_2026,368019.88,6321973.46,31,100.53,OBS
Tiwa Savage,Q1_2019,38197.67,Q2_2026,234075.1,5779856.55,31,28.41,OBS
Darkoo,Q1_2019,0.0,Q2_2026,216785.37,5778059.78,30,,UNK
Lojay,Q1_2019,0.0,Q2_2026,324983.97,5473960.17,30,,UNK
Tekno,Q1_2019,31074.37,Q2_2026,230676.88,5279335.28,31,31.85,OBS
P-Square,Q1_2019,56449.24,Q2_2026,379467.96,4919045.45,31,30.06,OBS
Patoranking,Q1_2019,62388.79,Q2_2026,209714.47,4453253.35,31,18.2,OBS
Sarz,Q1_2019,7064.2,Q2_2026,354620.42,4414442.89,31,71.62,OBS
Adekunle Gold,Q1_2019,8128.65,Q2_2026,264709.99,4165320.24,31,61.68,OBS
Yemi Alade,Q1_2019,52869.85,Q2_2026,131504.37,4162272.24,31,13.39,OBS
Pheelz,Q1_2019,0.0,Q2_2026,172459.19,3833710.33,30,,UNK
Shallipopi,Q1_2019,0.0,Q2_2026,339446.26,3640825.06,16,,UNK
Young Jonn,Q1_2019,0.0,Q2_2026,329129.97,3485209.8,30,,UNK
