year,observed_usd,projected_usd,projected_ngn,quarters_projected,quarters_total,classification
2019,11677046.6,58457919.24,87686878860.0,0,4,OBS
2020,19235889.92,63615142.39,95422713585.0,0,4,OBS
2021,34228092.96,69227341.53,103841012295.0,0,4,OBS
2022,60535014.8,75334655.16,113001982740.0,0,4,OBS
2023,85357061.7,81980762.86,122971144290.0,0,4,OBS
2024,90085890.17,89213197.62,133819796430.0,0,4,OBS
2025,93713673.19,97083685.87,145625528805.0,0,4,OBS
2026,82131547.02,105648517.42,158472776130.0,1,4,EST
2027,0.0,114968948.02,172453422030.0,4,4,EST
2028,0.0,92671472.97,139007209455.0,3,3,EST
