period,basis,observed_usd,projected_usd,lower_95_usd,upper_95_usd,projected_ngn,artists_in_scope,classification
Q1_2019,"observed, outside fit window",1872809.05,13378431.18,12392054.33,14421712.76,20067646769.56,92,OBS
Q2_2019,"observed, outside fit window",2323531.24,15117928.25,14003300.22,16296859.91,22676892382.5,108,OBS
Q3_2019,"observed, outside fit window",3218095.29,14804020.88,13712536.89,15958473.3,22206031318.2,117,OBS
Q4_2019,"observed, outside fit window",4262611.02,15157538.93,14039990.45,16339559.52,22736308394.13,118,OBS
Q1_2020,"observed, outside fit window",3987687.48,14558691.37,13485295.25,15694012.42,21838037053.76,119,OBS
Q2_2020,"observed, outside fit window",4568682.57,16451648.83,15238687.06,17734587.15,24677473238.38,119,OBS
Q3_2020,"observed, outside fit window",5247262.94,16110048.19,14922272.26,17366347.69,24165072283.38,119,OBS
Q4_2020,"observed, outside fit window",5432256.93,16494754.0,15278614.14,17781053.77,24742130997.14,120,OBS
Q1_2021,"observed, outside fit window",5875940.5,15843075.44,14674983.11,17078555.78,23764613152.59,121,OBS
Q2_2021,"observed, outside fit window",6943010.28,17903031.72,16583061.11,19299152.3,26854547579.06,121,OBS
Q3_2021,"observed, outside fit window",8947657.73,17531294.69,16238731.84,18898426.35,26296942037.66,121,OBS
Q4_2021,"observed, outside fit window",12461484.45,17949939.68,16626510.59,19349718.26,26924909517.75,122,OBS
Q1_2022,"observed, outside fit window",12522069.95,17240769.3,15969626.56,18585245.1,25861153953.62,123,OBS
Q2_2022,"observed, outside fit window",13725219.46,19482457.24,18046037.34,21001745.14,29223685857.53,123,OBS
Q3_2022,"observed, outside fit window",16545833.57,19077925.15,17671330.96,20565666.7,28616887730.46,126,OBS
Q4_2022,"observed, outside fit window",17741891.82,19533503.47,18093319.99,21056772.08,29300255205.29,128,OBS
Q1_2023,"observed, outside fit window",19660327.33,18761769.29,17378484.91,20224856.25,28142653933.34,128,OBS
Q2_2023,"observed, outside fit window",23324978.68,21201221.45,19638078.97,22854542.63,31801832169.59,128,OBS
Q3_2023,"observed, in fit window",20941938.88,20761001.09,19230315.57,22379992.86,31141501631.82,128,OBS
Q4_2023,"observed, in fit window",21429816.81,21256771.03,19689532.95,22914424.11,31885156551.01,128,OBS
Q1_2024,"observed, in fit window",20850286.9,20416953.6,18911634.32,22009115.73,30625430397.73,128,OBS
Q2_2024,"observed, in fit window",23032148.29,23071616.96,21370572.31,24870795.99,34607425438.16,128,OBS
Q3_2024,"observed, in fit window",23051208.68,22592559.87,20926835.56,24354380.9,33888839800.43,128,OBS
Q4_2024,"observed, in fit window",23152246.3,23132067.19,21426565.61,24935960.28,34698100789.87,129,OBS
Q1_2025,"observed, in fit window",20985647.53,22218160.12,20580039.89,23950784.58,33327240183.81,130,OBS
Q2_2025,"observed, in fit window",24001481.39,25107020.86,23255908.14,27064925.49,37660531288.61,130,OBS
Q3_2025,"observed, in fit window",23834738.62,24585700.81,22773024.44,26502951.68,36878551220.73,130,OBS
Q4_2025,"observed, in fit window",24891805.65,25172804.08,23316841.24,27135838.64,37759206121.45,129,OBS
Q1_2026,"observed, in fit window",25010048.04,24178271.1,22395634.07,26063749.64,36267406656.64,129,OBS
Q2_2026,"observed, in fit window",28565229.2,27321990.37,25307570.42,29452623.54,40982985558.25,128,OBS
Q3_2026,incomplete quarter (excluded from fit),28556269.78,26754678.89,24782086.18,28841071.77,40132018332.56,128,PARTIAL
Q4_2026,projection,,27393577.06,25373879.1,29529792.73,41090365595.41,,EST
Q1_2027,projection,,26311305.27,24371402.01,28363122.84,39466957910.23,,EST
Q2_2027,projection,,29732366.98,27540232.64,32050966.99,44598550466.43,,EST
Q3_2027,projection,,29115006.64,26968389.59,31385463.44,43672509958.56,,EST
Q4_2027,projection,,29810269.13,27612391.15,32134944.13,44715403690.79,,EST
Q1_2028,projection,,28632518.11,26521474.4,30865349.31,42948777160.56,,EST
Q2_2028,projection,,32355389.71,29969862.82,34878539.21,48533084562.12,,EST
Q3_2028,projection,,31683565.15,29347571.14,34154324.19,47525347723.01,,EST
