period,artist_name,spotify_monthly_listeners,youtube_subscribers,youtube_actual_views,youtube_views_source,deezer_fans,est_spotify_quarterly_streams,spotify_revenue_usd,youtube_revenue_usd,deezer_revenue_usd,other_platforms_revenue_usd,gross_streaming_revenue_usd,gross_streaming_revenue_ngn,source,spotify_listeners_source,spotify_listeners_basis,ngn_per_usd,ngn_rate_basis
Q1_2019,Wizkid,1802950,758447,30778538,"estimated: subscribers x 13.53 views/month (EST, calibrated)",278350,18930975,75723.9,123114.15,6680.4,22717.17,228235.62,70050076.49,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Mr Eazi,2005624,539876,21908708,"estimated: subscribers x 13.53 views/month (EST, calibrated)",30712,21059052,84236.21,87634.83,737.09,25270.86,197878.99,60733019.61,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Burna Boy,1122251,0,30996089,"estimated: YouTube listeners x 12.48 views/month (EST, calibrated)",40723,11783636,47134.54,123984.36,977.35,14140.36,186236.61,57159740.34,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Flavour,210472,974144,39531738,"estimated: subscribers x 13.53 views/month (EST, calibrated)",33506,2209956,8839.82,158126.95,804.14,2651.95,170422.86,52306184.19,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Maleek Berry,887960,322681,13094718,"estimated: subscribers x 13.53 views/month (EST, calibrated)",14790,9323580,37294.32,52378.87,354.96,11188.3,101216.45,31065352.83,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Timaya,262290,348138,14127788,"estimated: subscribers x 13.53 views/month (EST, calibrated)",14260,2754045,11016.18,56511.15,342.24,3304.85,71174.42,21844852.99,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Patoranking,570163,0,7814477,"estimated: YouTube listeners x 12.48 views/month (EST, calibrated)",0,5986712,23946.85,31257.91,0.0,7184.05,62388.81,19148373.57,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,P-Square,319291,0,8728836,"estimated: YouTube listeners x 12.48 views/month (EST, calibrated)",170858,3352556,13410.22,34915.35,4100.59,4023.07,56449.23,17325397.67,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Yemi Alade,334035,0,7491482,"estimated: YouTube listeners x 12.48 views/month (EST, calibrated)",194400,3507368,14029.47,29965.93,4665.6,4208.84,52869.84,16226811.29,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Falz,150045,193223,7841183,"estimated: subscribers x 13.53 views/month (EST, calibrated)",7564,1575472,6301.89,31364.73,181.54,1890.57,39738.73,12196611.01,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Tiwa Savage,315526,0,4843388,"estimated: YouTube listeners x 12.48 views/month (EST, calibrated)",66517,3313023,13252.09,19373.55,1596.41,3975.63,38197.68,11723631.95,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Iyanya,97434,198614,8059955,"estimated: subscribers x 13.53 views/month (EST, calibrated)",20125,1023057,4092.23,32239.82,483.0,1227.67,38042.72,11676071.62,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Olamide,315880,0,4555737,"estimated: YouTube listeners x 12.48 views/month (EST, calibrated)",103238,3316740,13266.96,18222.95,2477.71,3980.09,37947.71,11646911.15,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Banky W.,58976,199571,8098791,"estimated: subscribers x 13.53 views/month (EST, calibrated)",8350,619248,2476.99,32395.16,200.4,743.1,35815.65,10992539.3,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Tekno,560765,0,0,no YouTube presence observed,19024,5888032,23552.13,0.0,456.58,7065.64,31074.35,9537339.5,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,2Baba,103394,148342,6019867,"estimated: subscribers x 13.53 views/month (EST, calibrated)",846,1085637,4342.55,24079.47,20.3,1302.76,29745.08,9129359.95,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Korede Bello,303871,66412,2695065,"estimated: subscribers x 13.53 views/month (EST, calibrated)",18103,3190646,12762.58,10780.26,434.47,3828.77,27806.08,8534242.07,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Ice Prince,298481,48563,1970735,"estimated: subscribers x 13.53 views/month (EST, calibrated)",42146,3134050,12536.2,7882.94,1011.5,3760.86,25191.5,7731775.18,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Reekado Banks,113679,110363,4478641,"estimated: subscribers x 13.53 views/month (EST, calibrated)",3805,1193630,4774.52,17914.56,91.32,1432.36,24212.76,7431380.3,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Wande Coal,286684,0,1990048,"estimated: YouTube listeners x 12.48 views/month (EST, calibrated)",18267,3010182,12040.73,7960.19,438.41,3612.22,24051.55,7381901.73,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
