period,cost_category,num_artists,total_cost_ngn,total_cost_usd,source
Q1_2019,Studio Production,92,138000000,449628.57,Unit cost card (ASM) x artists observed in scope
Q1_2019,Digital Distribution,92,2760000,8992.57,Unit cost card (ASM) x artists observed in scope
Q1_2019,Promotion & Marketing,92,46000000,149876.19,Unit cost card (ASM) x artists observed in scope
Q1_2019,Web Hosting & CDN,92,4600000,14987.62,Unit cost card (ASM) x artists observed in scope
Q1_2019,=== PERIOD TOTAL ===,92,191360000.0,623484.95,Aggregated
Q2_2019,Studio Production,108,162000000,527824.84,Unit cost card (ASM) x artists observed in scope
Q2_2019,Digital Distribution,108,3240000,10556.5,Unit cost card (ASM) x artists observed in scope
Q2_2019,Promotion & Marketing,108,54000000,175941.61,Unit cost card (ASM) x artists observed in scope
Q2_2019,Web Hosting & CDN,108,5400000,17594.16,Unit cost card (ASM) x artists observed in scope
Q2_2019,=== PERIOD TOTAL ===,108,224640000.0,731917.11,Aggregated
Q3_2019,Studio Production,117,175500000,571810.24,Unit cost card (ASM) x artists observed in scope
Q3_2019,Digital Distribution,117,3510000,11436.2,Unit cost card (ASM) x artists observed in scope
Q3_2019,Promotion & Marketing,117,58500000,190603.41,Unit cost card (ASM) x artists observed in scope
Q3_2019,Web Hosting & CDN,117,5850000,19060.34,Unit cost card (ASM) x artists observed in scope
Q3_2019,=== PERIOD TOTAL ===,117,243360000.0,792910.2,Aggregated
Q4_2019,Studio Production,118,177000000,576697.51,Unit cost card (ASM) x artists observed in scope
Q4_2019,Digital Distribution,118,3540000,11533.95,Unit cost card (ASM) x artists observed in scope
Q4_2019,Promotion & Marketing,118,59000000,192232.5,Unit cost card (ASM) x artists observed in scope
Q4_2019,Web Hosting & CDN,118,5900000,19223.25,Unit cost card (ASM) x artists observed in scope
Q4_2019,=== PERIOD TOTAL ===,118,245440000.0,799687.21,Aggregated
Q1_2020,Studio Production,118,177000000,493297.29,Unit cost card (ASM) x artists observed in scope
Q1_2020,Digital Distribution,118,3540000,9865.95,Unit cost card (ASM) x artists observed in scope
Q1_2020,Promotion & Marketing,118,59000000,164432.43,Unit cost card (ASM) x artists observed in scope
Q1_2020,Web Hosting & CDN,118,5900000,16443.24,Unit cost card (ASM) x artists observed in scope
Q1_2020,=== PERIOD TOTAL ===,118,245440000.0,684038.91,Aggregated
Q2_2020,Studio Production,118,177000000,493297.29,Unit cost card (ASM) x artists observed in scope
Q2_2020,Digital Distribution,118,3540000,9865.95,Unit cost card (ASM) x artists observed in scope
Q2_2020,Promotion & Marketing,118,59000000,164432.43,Unit cost card (ASM) x artists observed in scope
Q2_2020,Web Hosting & CDN,118,5900000,16443.24,Unit cost card (ASM) x artists observed in scope
Q2_2020,=== PERIOD TOTAL ===,118,245440000.0,684038.91,Aggregated
