variable_name,daily_observations
Spotify_followers_daily,330757
Deezer_fans_daily,287541
Spotify_monthly_listeners_daily,245791
Radio_spins_daily_NG,223614
Twitter_followers_daily,223514
YouTube_subscribers_daily,217101
Spotify_popularity_daily,206978
Instagram_followers_daily,197883
Soundcloud_followers_daily,169829
YouTube_channel_views_daily,168903
Facebook_followers_daily,133041
YouTube_listeners_daily,111271
YouTube_total_listeners_daily,111008
YouTube_domestic_listeners_daily,108860
TikTok_followers_daily,85683
TikTok_likes_daily,82421
Boomplay_followers_daily,76396
Audiomack_listeners_daily,69929
Wikipedia_views_daily,59565
Audiomack_followers_daily,57293
Playlist_count_daily,52436
Playlist_editorial_count_daily,52436
Playlist_editorial_reach_daily,52436
Playlist_reach_daily,52436
Spotify_total_listeners_daily,50937
Bandsintown_followers_daily,43480
Playlist_Apple_Music_count_daily,43168
Playlist_Apple_Music_editorial_count_daily,43168
Playlist_Apple_Music_editorial_reach_daily,43168
Playlist_Apple_Music_reach_daily,43168
Playlist_Deezer_count_daily,40418
Playlist_Deezer_editorial_count_daily,40418
Playlist_Deezer_editorial_reach_daily,40418
Playlist_Deezer_reach_daily,40418
Spotify_domestic_listeners_daily,36413
Genius_followers_daily,29257
Soundcharts_fanbase_score_daily,26124
Soundcharts_score_daily,26124
Soundcharts_trending_score_daily,26124
Playlist_YouTube_count_daily,25406
Playlist_YouTube_editorial_count_daily,25406
Playlist_YouTube_editorial_reach_daily,25406
Playlist_YouTube_reach_daily,25406
Playlist_Amazon_Music_count_daily,23884
Playlist_Amazon_Music_editorial_count_daily,23884
Playlist_Amazon_Music_editorial_reach_daily,23884
Playlist_Amazon_Music_reach_daily,23884
Amazon_Music_followers_daily,21797
Facebook_likes_daily,13849
Facebook_talks_daily,13849
YouTube_artist_daily_views,11512
YouTube_artist_monthly_views,10095
Instagram_domestic_followers_daily,5247
Instagram_total_followers_daily,5247
YouTube_domestic_followers_daily,3962
YouTube_total_followers_daily,3962
TikTok_domestic_followers_daily,2495
TikTok_total_followers_daily,2495
Tidal_followers_daily,2393
