table,ordinal,column,rows
Artist_Master_List,1,cm_artist_id,129
Artist_Master_List,2,artist_name,129
Artist_Master_List,3,country,129
Artist_Master_List,4,genres,129
Artist_Master_List,5,label,129
Artist_Master_List,6,spotify_id,129
Artist_Master_List,7,youtube_id,129
Artist_Master_List,8,status,129
Artist_Residency_Classification,1,artist_name,129
Artist_Residency_Classification,2,nigerian_heritage,129
Artist_Residency_Classification,3,provider_country_of_residence,129
Artist_Residency_Classification,4,residence_classification,129
Artist_Residency_Classification,5,national_accounts_treatment,129
Artist_Residency_Classification,6,included_in_domestic_production,129
Artist_Residency_Classification,7,gni_relevant,129
Artist_Residency_Classification,8,evidence,129
Artist_Residency_Classification,9,needs_nbs_adjudication,129
Artist_Residency_Classification,10,quarters_with_revenue,129
Artist_Residency_Classification,11,gross_revenue_usd,129
Artist_Residency_Classification,12,gross_revenue_ngn,129
Artist_Residency_Classification,13,operating_cost_ngn,129
Daily_Metric_Observations,1,date,4243988
Daily_Metric_Observations,2,period_label,4243988
Daily_Metric_Observations,3,entity_type,4243988
Daily_Metric_Observations,4,entity_id,4243988
Daily_Metric_Observations,5,entity_name,4243988
Daily_Metric_Observations,6,platform,4243988
Daily_Metric_Observations,7,geo_scope,4243988
Daily_Metric_Observations,8,variable_name,4243988
Daily_Metric_Observations,9,variable_value,4243988
Daily_Metric_Observations,10,unit,4243988
Daily_Metric_Observations,11,source_endpoint,4243988
Daily_Metric_Observations,12,source_field,4243988
Daily_Metric_Observations,13,extraction_timestamp,4243988
Domestic_Production_Account,1,period,31
Domestic_Production_Account,2,artists,31
Domestic_Production_Account,3,gross_revenue_usd,31
Domestic_Production_Account,4,gross_revenue_ngn,31
Domestic_Production_Account,5,operating_cost_ngn,31
Domestic_Production_Account,6,net_ngn,31
Domestic_Production_Account,7,ngn_per_usd,31
Domestic_Production_Account,8,ngn_rate_basis,31
Employment_Male_Female,1,period,15
Employment_Male_Female,2,category,15
Employment_Male_Female,3,total_employment,15
Employment_Male_Female,4,male,15
Employment_Male_Female,5,female,15
Employment_Male_Female,6,source,15
GNI_Diaspora_Account,1,period,31
GNI_Diaspora_Account,2,artists,31
GNI_Diaspora_Account,3,gross_revenue_usd,31
GNI_Diaspora_Account,4,gross_revenue_ngn,31
GNI_Diaspora_Account,5,operating_cost_ngn,31
GNI_Diaspora_Account,6,net_ngn,31
GNI_Diaspora_Account,7,ngn_per_usd,31
GNI_Diaspora_Account,8,ngn_rate_basis,31
Gross_Export_Revenue,1,period,3829
Gross_Export_Revenue,2,artist_name,3829
Gross_Export_Revenue,3,total_streaming_revenue_usd,3829
Gross_Export_Revenue,4,nigeria_domestic_share_pct,3829
Gross_Export_Revenue,5,domestic_revenue_usd,3829
Gross_Export_Revenue,6,export_share_pct,3829
Gross_Export_Revenue,7,gross_export_revenue_usd,3829
Gross_Export_Revenue,8,gross_export_revenue_ngn,3829
Gross_Export_Revenue,9,top_export_markets,3829
Gross_Export_Revenue,10,source,3829
Gross_Streaming_Revenue,1,period,3829
Gross_Streaming_Revenue,2,artist_name,3829
Gross_Streaming_Revenue,3,spotify_monthly_listeners,3829
Gross_Streaming_Revenue,4,youtube_subscribers,3829
Gross_Streaming_Revenue,5,youtube_actual_views,3829
Gross_Streaming_Revenue,6,youtube_views_source,3829
Gross_Streaming_Revenue,7,deezer_fans,3829
Gross_Streaming_Revenue,8,est_spotify_quarterly_streams,3829
Gross_Streaming_Revenue,9,spotify_revenue_usd,3829
Gross_Streaming_Revenue,10,youtube_revenue_usd,3829
Gross_Streaming_Revenue,11,deezer_revenue_usd,3829
Gross_Streaming_Revenue,12,other_platforms_revenue_usd,3829
Gross_Streaming_Revenue,13,gross_streaming_revenue_usd,3829
Gross_Streaming_Revenue,14,gross_streaming_revenue_ngn,3829
Gross_Streaming_Revenue,15,source,3829
Gross_Streaming_Revenue,16,spotify_listeners_source,3829
Gross_Streaming_Revenue,17,spotify_listeners_basis,3829
Gross_Streaming_Revenue,18,ngn_per_usd,3829
Gross_Streaming_Revenue,19,ngn_rate_basis,3829
Hosting_Production_Costs,1,period,155
Hosting_Production_Costs,2,cost_category,155
Hosting_Production_Costs,3,num_artists,155
Hosting_Production_Costs,4,total_cost_ngn,155
Hosting_Production_Costs,5,total_cost_usd,155
Hosting_Production_Costs,6,source,155
National_Accounts_Aggregates,1,period,62
National_Accounts_Aggregates,2,account,62
National_Accounts_Aggregates,3,output_ngn,62
National_Accounts_Aggregates,4,intermediate_consumption_ngn,62
National_Accounts_Aggregates,5,gross_value_added_ngn,62
National_Accounts_Aggregates,6,compensation_of_employees_ngn,62
National_Accounts_Aggregates,7,operating_surplus_mixed_income_ngn,62
National_Accounts_Aggregates,8,basis,62
Quarterly_Aggregates_Full,1,entity_name,125162
Quarterly_Aggregates_Full,2,variable_name,125162
Quarterly_Aggregates_Full,3,period_label,125162
Quarterly_Aggregates_Full,4,aggregation_rule,125162
Quarterly_Aggregates_Full,5,aggregated_value,125162
Quarterly_Aggregates_Full,6,min_value,125162
Quarterly_Aggregates_Full,7,max_value,125162
Quarterly_Aggregates_Full,8,obs_count,125162
Revenue_And_Cost_By_Platform,1,period,264
Revenue_And_Cost_By_Platform,2,account,264
Revenue_And_Cost_By_Platform,3,platform,264
Revenue_And_Cost_By_Platform,4,revenue_usd,264
Revenue_And_Cost_By_Platform,5,revenue_ngn,264
Revenue_And_Cost_By_Platform,6,revenue_share_of_quarter_pct,264
Revenue_And_Cost_By_Platform,7,direct_cost_ngn,264
Revenue_And_Cost_By_Platform,8,shared_cost_allocated_ngn,264
Revenue_And_Cost_By_Platform,9,cost_allocation_basis,264
Revenue_And_Cost_By_Platform,10,total_cost_ngn,264
Revenue_And_Cost_By_Platform,11,net_operating_result_ngn,264
Revenue_And_Cost_By_Platform,12,revenue_measurement_basis,264
Revenue_And_Cost_By_Platform,13,classification,264
