year,observed_usd,projected_usd,projected_ngn,quarters_projected,quarters_total,classification
2019,11677046.72,58457006.29,87685509435.0,0,4,OBS
2020,19235654.7,63614301.13,95421451695.0,0,4,OBS
2021,34227685.68,69226591.74,103839887610.0,0,4,OBS
2022,60534524.31,75334019.53,113001029295.0,0,4,OBS
2023,85356549.67,81980267.36,122970401040.0,0,4,OBS
2024,90085630.09,89212871.92,133819307880.0,0,4,OBS
2025,93713672.11,97083563.8,145625345700.0,0,4,OBS
2026,82131271.16,105648637.42,158472956130.0,1,4,EST
2027,0.0,114969353.75,172454030625.0,4,4,EST
2028,0.0,92671970.82,139007956230.0,3,3,EST
