period,basis,observed_usd,projected_usd,lower_95_usd,upper_95_usd,projected_ngn,artists_in_scope,classification
Q1_2019,"observed, outside fit window",1872809.25,13378431.17,12392054.36,14421712.71,20067646755.0,92,OBS
Q2_2019,"observed, outside fit window",2323531.26,15117928.25,14003300.25,16296859.86,22676892375.0,108,OBS
Q3_2019,"observed, outside fit window",3218095.33,14804020.86,13712536.91,15958473.24,22206031290.0,117,OBS
Q4_2019,"observed, outside fit window",4262610.88,15157538.92,14039990.47,16339559.47,22736308380.0,118,OBS
Q1_2020,"observed, outside fit window",3987687.47,14558691.36,13485295.28,15694012.37,21838037040.0,119,OBS
Q2_2020,"observed, outside fit window",4568682.54,16451648.82,15238687.09,17734587.1,24677473230.0,119,OBS
Q3_2020,"observed, outside fit window",5247262.97,16110048.17,14922272.28,17366347.64,24165072255.0,119,OBS
Q4_2020,"observed, outside fit window",5432256.97,16494753.99,15278614.17,17781053.72,24742130985.0,120,OBS
Q1_2021,"observed, outside fit window",5875940.51,15843075.43,14674983.14,17078555.73,23764613145.0,121,OBS
Q2_2021,"observed, outside fit window",6943010.24,17903031.71,16583061.14,19299152.25,26854547565.0,121,OBS
Q3_2021,"observed, outside fit window",8947657.74,17531294.68,16238731.86,18898426.29,26296942020.0,121,OBS
Q4_2021,"observed, outside fit window",12461484.56,17949939.67,16626510.63,19349718.2,26924909505.0,122,OBS
Q1_2022,"observed, outside fit window",12522069.94,17240769.3,15969626.6,18585245.06,25861153950.0,123,OBS
Q2_2022,"observed, outside fit window",13725219.54,19482457.23,18046037.38,21001745.09,29223685845.0,123,OBS
Q3_2022,"observed, outside fit window",16545833.53,19077925.14,17671330.99,20565666.63,28616887710.0,126,OBS
Q4_2022,"observed, outside fit window",17741891.81,19533503.47,18093320.03,21056772.03,29300255205.0,128,OBS
Q1_2023,"observed, outside fit window",19660327.37,18761769.29,17378484.95,20224856.2,28142653935.0,128,OBS
Q2_2023,"observed, outside fit window",23324978.72,21201221.44,19638079.02,22854542.58,31801832160.0,128,OBS
Q3_2023,"observed, in fit window",20941938.91,20761001.08,19230315.61,22379992.79,31141501620.0,128,OBS
Q4_2023,"observed, in fit window",21429816.82,21256771.03,19689533.0,22914424.05,31885156545.0,128,OBS
Q1_2024,"observed, in fit window",20850286.89,20416953.6,18911634.37,22009115.68,30625430400.0,128,OBS
Q2_2024,"observed, in fit window",23032148.22,23071616.96,21370572.36,24870795.94,34607425440.0,128,OBS
Q3_2024,"observed, in fit window",23051208.66,22592559.86,20926835.6,24354380.84,33888839790.0,128,OBS
Q4_2024,"observed, in fit window",23152246.24,23132067.19,21426565.67,24935960.22,34698100785.0,129,OBS
Q1_2025,"observed, in fit window",20985647.56,22218160.13,20580039.95,23950784.53,33327240195.0,130,OBS
Q2_2025,"observed, in fit window",24001481.5,25107020.86,23255908.2,27064925.43,37660531290.0,130,OBS
Q3_2025,"observed, in fit window",23834738.58,24585700.81,22773024.49,26502951.6,36878551215.0,130,OBS
Q4_2025,"observed, in fit window",24891805.71,25172804.09,23316841.3,27135838.58,37759206135.0,129,OBS
Q1_2026,"observed, in fit window",25010048.03,24178271.11,22395634.13,26063749.58,36267406665.0,129,OBS
Q2_2026,"observed, in fit window",28565229.17,27321990.38,25307570.48,29452623.48,40982985570.0,128,OBS
Q3_2026,incomplete quarter (excluded from fit),28556269.83,26754678.88,24782086.23,28841071.7,40132018320.0,128,PARTIAL
Q4_2026,projection,,27393577.07,25373879.17,29529792.67,41090365605.0,,EST
Q1_2027,projection,,26311305.28,24371402.07,28363122.78,39466957920.0,,EST
Q2_2027,projection,,29732366.99,27540232.71,32050966.93,44598550485.0,,EST
Q3_2027,projection,,29115006.64,26968389.65,31385463.36,43672509960.0,,EST
Q4_2027,projection,,29810269.14,27612391.23,32134944.07,44715403710.0,,EST
Q1_2028,projection,,28632518.12,26521474.48,30865349.26,42948777180.0,,EST
Q2_2028,projection,,32355389.72,29969862.91,34878539.14,48533084580.0,,EST
Q3_2028,projection,,31683565.15,29347571.21,34154324.11,47525347725.0,,EST
