nmas_artist_id,artist_name,in_sample,region,state_area,chartmetric_id,soundcharts_uuid,soundcharts_name,match_confidence,in_daily_microdata
2baba,2Baba,Y,South,Benue,180612,11e83fe6-991f-e24a-85c4-a0369fe50396,2Baba,exact_ng,Y
9ice,9ice,Y,South,Oyo,3683,11e81bc6-7062-ea76-9ea5-a0369fe50396,9ice,exact_ng,Y
adekunle-gold,Adekunle Gold,Y,South,Lagos,640717,11e81bbe-1e84-5c38-a593-a0369fe50396,Adekunle Gold,exact_ng,Y
ajebutter22,Ajebutter22,Y,,,202020,11e83fe1-7743-6ce6-a586-aa1c026db3d8,Ajebutter22,exact_ng,Y
amaarae,Amaarae,Y,,,834689,11e83fed-8dd7-286a-83f4-a0369fe50396,Amaarae,exact_foreign,Y
asake,Asake,Y,South,Lagos,1779041,fbe8f070-b8f8-11e8-af3e-525400009efb,Asake,exact_ng,Y
ayra-starr,Ayra Starr,Y,South,Lagos,4200054,440f0f3d-170e-4be3-ac0a-182326bf51f6,Ayra Starr,exact_ng,Y
aṣa,Aṣa,Y,,,63541,11e81bc7-0336-16d4-827a-a0369fe50396,Aṣa,exact_foreign,Y
bnxn,BNXN,Y,South,Lagos,1363515,11e83fe9-d026-36d8-8f3f-aa1c026db3d8,BNXN,exact_ng,Y
bad-boy-timz,Bad Boy Timz,Y,South,,1596343,af27eea6-8933-11e9-b0df-549f35161576,Bad Boy Timz,exact_ng,Y
banky-w,Banky W.,Y,South,Lagos,107373,11e81bcd-0487-be9c-8bf1-a0369fe50396,Banky W.,exact_ng,Y
bayanni,Bayanni,Y,,,9591956,1a43db25-4375-45ef-ba3e-7c9367f4cad5,Bayanni,exact_ng,Y
bella-shmurda,Bella Shmurda,Y,South,Lagos,1526513,95344eec-423c-11e9-8db6-549f35141000,Bella Shmurda,exact_ng,Y
blaqbonez,Blaqbonez,Y,South,Lagos,880055,090ce0d4-b33d-11e8-b1c2-525400009efb,Blaqbonez,exact_ng,Y
bloody-civilian,Bloody Civilian,Y,,,9901852,0521d08a-9168-4c3a-9f8d-46d2b3c36ea3,Bloody Civilian,exact_ng,Y
boj,Boj,Y,,,317847,11e83fe1-9f7d-e4f2-87f0-a0369fe50396,Boj,exact_ng,Y
boy-spyce,Boy Spyce,Y,,,6124353,d0409c99-c83e-403e-9a1e-a73ff46e7fe6,Boy Spyce,exact_ng,Y
bracket,Bracket,Y,,,712,11e81bc9-a2b1-6536-9259-a0369fe50396,Bracket,exact_ng,Y
brymo,Brymo,Y,South,,15051,11e81bbe-54ed-29d0-9ff6-a0369fe50396,Brymo,exact_ng,Y
burna-boy,Burna Boy,Y,South,Rivers,441923,14ff75bc-4c73-11e9-a24b-549f35141000,Burna Boy,exact_ng,Y
cdq,CDQ,Y,,,101087,11e83fe2-3f9a-9fc0-8f52-a0369fe50396,CDQ,exact_ng,Y
ckay,CKay,Y,South,Anambra,919695,11e83fec-1580-802e-81df-aa1c026db3d8,Ckay,exact_ng,Y
chike,Chike,Y,South,Anambra,1139022,11e81bc0-0cbc-b08e-bee2-a0369fe50396,Chike,exact_ng,Y
crayon,Crayon,Y,,,1705853,4071305e-b790-11e9-94f0-00163ec5a2fb,Crayon,exact_foreign,Y
cruel-santino,Cruel Santino,Y,,,921836,7d459933-46a9-49bd-bebc-b48dad4284e3,Cruel Santino,exact_ng,Y
d-banj,D'banj,Y,South,Ogun,3225,11e81bc7-2e44-87a2-9ff7-a0369fe50396,D'banj,exact_ng,Y
dj-cuppy,DJ Cuppy,Y,,,12822800,3cbe1ad5-4fbd-4f8f-92c6-2c2711ebb6a1,Dj Cuppy,exact_no_country,Y
dj-neptune,DJ Neptune,Y,South,,269281,11e83fe0-3869-816e-b026-a0369fe50396,DJ Neptune,exact_ng,Y
dj-spinall,DJ Spinall,Y,,,1068888,11e83fe1-2cd5-afde-97dd-aa1c026db3d8,DJ Spinall,exact_ng,Y
dammy-krane,Dammy Krane,Y,,,423004,11e81bcb-904d-95e8-9170-a0369fe50396,Dammy Krane,exact_ng,Y
darey,Darey,Y,,,510303,11e83fe3-9279-0884-b06a-aa1c026db3d8,Darey,exact_ng,Y
darkoo,Darkoo,Y,,,821653,11e83fee-736a-5e06-aedf-a0369fe50396,Darkoo,exact_foreign,Y
davido,Davido,Y,South,Osun,4723,11e81bc8-7fc6-6428-9478-a0369fe50396,Davido,exact_ng,Y
