period_label,entity_type,entity_name,platform,geo_scope,variable_name,aggregation_rule,variable_value,unit,observations,period_min,period_max,first_observed,last_observed,providers,classification,delta_raw
Q2_2024,artist,2Baba,Amazon Music,global,Amazon_Music_followers_daily,net_change,0.0,followers,2,749.0,749.0,2024-06-27,2024-06-28,soundcharts,AGG,0.0
Q3_2024,artist,2Baba,Amazon Music,global,Amazon_Music_followers_daily,net_change,15.0,followers,25,749.0,764.0,2024-07-01,2024-09-29,soundcharts,AGG,15.0
Q4_2024,artist,2Baba,Amazon Music,global,Amazon_Music_followers_daily,net_change,31.0,followers,23,764.0,795.0,2024-10-04,2024-12-29,soundcharts,AGG,31.0
Q1_2024,artist,2Baba,Bandsintown,global,Bandsintown_followers_daily,net_change,51.0,followers,31,9093.0,9144.0,2024-02-29,2024-03-31,soundcharts,AGG,51.0
Q2_2024,artist,2Baba,Bandsintown,global,Bandsintown_followers_daily,net_change,210.0,followers,46,9149.0,9359.0,2024-04-01,2024-06-29,soundcharts,AGG,210.0
Q3_2024,artist,2Baba,Bandsintown,global,Bandsintown_followers_daily,net_change,178.0,followers,81,9360.0,9538.0,2024-07-01,2024-09-30,soundcharts,AGG,178.0
Q4_2024,artist,2Baba,Bandsintown,global,Bandsintown_followers_daily,net_change,776.0,followers,41,9539.0,10315.0,2024-10-01,2024-12-31,soundcharts,AGG,776.0
Q1_2024,artist,2Baba,Boomplay,global,Boomplay_followers_daily,net_change,12.0,followers,90,6590.0,6602.0,2024-01-01,2024-03-31,soundcharts,AGG,12.0
Q2_2023,artist,2Baba,Boomplay,global,Boomplay_followers_daily,net_change,24.0,followers,87,6530.0,6554.0,2023-04-04,2023-06-30,soundcharts,AGG,24.0
Q2_2024,artist,2Baba,Boomplay,global,Boomplay_followers_daily,net_change,6.0,followers,47,6602.0,6608.0,2024-04-01,2024-06-29,soundcharts,AGG,6.0
Q3_2023,artist,2Baba,Boomplay,global,Boomplay_followers_daily,net_change,18.0,followers,88,6554.0,6572.0,2023-07-01,2023-09-30,soundcharts,AGG,18.0
Q3_2024,artist,2Baba,Boomplay,global,Boomplay_followers_daily,net_change,7.0,followers,81,6609.0,6616.0,2024-07-01,2024-09-30,soundcharts,AGG,7.0
Q4_2023,artist,2Baba,Boomplay,global,Boomplay_followers_daily,net_change,17.0,followers,91,6572.0,6589.0,2023-10-01,2023-12-31,soundcharts,AGG,17.0
Q4_2024,artist,2Baba,Boomplay,global,Boomplay_followers_daily,net_change,14.0,followers,46,6616.0,6630.0,2024-10-02,2024-12-31,soundcharts,AGG,14.0
Q1_2019,artist,2Baba,Deezer,global,Deezer_fans_daily,net_change,16.0,fans,13,830.0,846.0,2019-03-19,2019-03-31,soundcharts,AGG,16.0
Q1_2020,artist,2Baba,Deezer,global,Deezer_fans_daily,net_change,1663.0,fans,87,1303.0,2966.0,2020-01-01,2020-03-31,soundcharts,AGG,1663.0
Q1_2021,artist,2Baba,Deezer,global,Deezer_fans_daily,net_change,309.0,fans,90,6860.0,7169.0,2021-01-01,2021-03-31,soundcharts,AGG,309.0
Q1_2022,artist,2Baba,Deezer,global,Deezer_fans_daily,net_change,741.0,fans,87,8526.0,9267.0,2022-01-01,2022-03-31,soundcharts,AGG,741.0
Q1_2023,artist,2Baba,Deezer,global,Deezer_fans_daily,net_change,88.0,fans,87,9927.0,10015.0,2023-01-01,2023-03-31,soundcharts,AGG,88.0
Q1_2024,artist,2Baba,Deezer,global,Deezer_fans_daily,net_change,46.0,fans,88,10243.0,10289.0,2024-01-01,2024-03-31,soundcharts,AGG,46.0
