period_label,nmas_artist_id,artist_name,residency,spotify_monthly_listeners,youtube_quarter_views,deezer_fans,spotify_revenue_usd,youtube_revenue_usd,deezer_revenue_usd,measured_platform_revenue_usd,unmeasured_platform_uplift_usd,gross_streaming_revenue_usd,gross_streaming_revenue_ngn,domestic_share_observed,domestic_revenue_usd,export_revenue_usd,export_revenue_ngn,split_basis,split_classification,youtube_views_source,spotify_listeners_source
Q1_2019,2baba,2Baba,domestic,103394,6019867,846,4342.55,24079.47,20.3,28442.32,1302.77,29745.09,44617632.37,,,,,not measured: provider published no geography this quarter,UNK,"estimated: subscribers x 13.53 views/month (EST, calibrated)",estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q2_2019,2baba,2Baba,domestic,136607,6519425,1122,5737.49,26077.7,26.93,31842.12,1721.25,33563.37,50345054.83,,,,,not measured: provider published no geography this quarter,UNK,"estimated: subscribers x 13.27 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q3_2019,2baba,2Baba,domestic,138061,6750425,1247,5798.56,27001.7,29.93,32830.19,1739.57,34569.76,51854640.3,,,,,not measured: provider published no geography this quarter,UNK,"estimated: subscribers x 13.01 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q4_2019,2baba,2Baba,domestic,128976,7036013,1303,5416.99,28144.05,31.27,33592.32,1625.1,35217.41,52826119.2,,,,,not measured: provider published no geography this quarter,UNK,"estimated: subscribers x 12.75 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q1_2020,2baba,2Baba,domestic,156940,7641554,2966,6591.48,30566.22,71.18,37228.88,1977.44,39206.33,58809488.4,,,,,not measured: provider published no geography this quarter,UNK,"estimated: subscribers x 12.49 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q2_2020,2baba,2Baba,domestic,403575,8325906,5886,16950.15,33303.62,141.26,50395.04,5085.05,55480.08,83220124.5,,,,,not measured: provider published no geography this quarter,UNK,"estimated: subscribers x 12.23 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q3_2020,2baba,2Baba,domestic,227908,9189734,6525,9572.14,36758.94,156.6,46487.67,2871.64,49359.31,74038971.6,,,,,not measured: provider published no geography this quarter,UNK,"estimated: subscribers x 11.97 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q4_2020,2baba,2Baba,domestic,225153,9586886,6856,9456.43,38347.55,164.54,47968.52,2836.93,50805.44,76208165.1,,,,,not measured: provider published no geography this quarter,UNK,"estimated: subscribers x 11.71 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q1_2021,2baba,2Baba,domestic,217955,9717145,7169,9154.11,38868.58,172.06,48194.74,2746.23,50940.98,76411466.1,0.091156,4643.6,46297.38,69446069.53,observed: artist's own Nigerian share of listeners this quarter,OBS,"estimated: subscribers x 11.45 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q2_2021,2baba,2Baba,domestic,233477,9764680,7546,9806.03,39058.72,181.1,49045.86,2941.81,51987.67,77981499.9,0.078862,4099.87,47887.79,71831688.06,observed: artist's own Nigerian share of listeners this quarter,OBS,"estimated: subscribers x 11.19 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q3_2021,2baba,2Baba,domestic,234139,10127475,8086,9833.84,40509.9,194.06,50537.8,2950.15,53487.95,80231930.1,0.10483,5607.15,47880.81,71821209.49,observed: artist's own Nigerian share of listeners this quarter,OBS,"estimated: observations span 9% of the quarter, below the 90% adequacy threshold; subscribers x 10.92 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q4_2021,2baba,2Baba,domestic,273602,2773042,8524,11491.28,11092.17,204.58,22788.03,3447.39,26235.41,39353119.8,0.147641,3873.44,22361.98,33542966.55,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q1_2022,2baba,2Baba,domestic,267902,3979938,9267,11251.88,15919.75,222.41,27394.04,3375.57,30769.61,46154413.8,0.158223,4868.47,25901.14,38851714.89,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q2_2022,2baba,2Baba,domestic,273019,2877073,9573,11466.8,11508.29,229.75,23204.84,3440.04,26644.88,39967322.1,0.154958,4128.84,22516.04,33774066.08,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q3_2022,2baba,2Baba,domestic,241015,3296979,9806,10122.63,13187.92,235.34,23545.89,3036.79,26582.68,39874018.5,0.146611,3897.32,22685.36,34028043.09,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q4_2022,2baba,2Baba,domestic,263180,3381597,9925,11053.56,13526.39,238.2,24818.15,3316.07,28134.22,42201324.0,0.212631,5982.2,22152.02,33228027.0,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q1_2023,2baba,2Baba,domestic,271116,3451193,10015,11386.87,13804.77,240.36,25432.0,3416.06,28848.07,43272098.4,0.307251,8863.6,19984.47,29976697.88,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q2_2023,2baba,2Baba,domestic,322870,4246388,10087,13560.54,16985.55,242.09,30788.18,4068.16,34856.34,52284513.0,0.324508,11311.18,23545.16,35317747.26,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change (1 provider restatement repriced at the artist's median daily rate)","observed monthly listeners, quarter end level"
Q3_2023,2baba,2Baba,domestic,327734,3636125,10155,13764.83,14544.5,243.72,28553.05,4129.45,32682.5,49023744.6,0.427814,13982.02,18700.48,28050717.95,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q4_2023,2baba,2Baba,domestic,345950,4428119,10241,14529.9,17712.48,245.78,32488.16,4358.97,36847.13,55270695.0,0.495421,18254.83,18592.3,27888451.17,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q1_2024,2baba,2Baba,domestic,374397,3041960,10289,15724.67,12167.84,246.94,28139.45,4717.4,32856.85,49285278.3,0.495012,16264.55,16592.3,24888453.8,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
